COUNTY AREA TOTAL DEM REP Herzog Writein
COUNTY AREA TOTAL Greenfield Ernst Herzog Writein
Benton "Vinton 2" 510 216 273 7 0
Benton "Vinton 3" 684 269 385 6 1
Benton "Vinton 4" 660 257 380 2 0
Benton Walford 589 255 309 7 1
"Black Hawk" "Barclay Lester Dunkerton" 1128 390 698 10 0
"Black Hawk" Bennington 301 65 230 0 0
"Black Hawk" "Big Creek La Porte City" 1452 582 819 14 0
"Black Hawk" "Black Hawk Hudson Lincoln" 2044 733 1254 9 2
"Black Hawk" "Cedar Orange" 1171 484 655 9 1
"Black Hawk" "CF W1 P1" 1078 535 512 6 0
"Black Hawk" "CF W1 P2" 1720 1034 652 12 0
"Black Hawk" "CF W1 P3" 1636 1063 522 11 1
"Black Hawk" "CF W2 P1" 463 279 171 4 0
"Black Hawk" "CF W2 P2 CF Twp" 2016 1020 955 8 2
"Black Hawk" "CF W2 P3" 3054 1492 1510 9 1
"Black Hawk" "CF W3 P1" 1487 679 775 10 1
"Black Hawk" "CF W3 P2" 2200 1055 1112 11 1
"Black Hawk" "CF W3 P3" 757 401 338 5 1
"Black Hawk" "CF W4 P1" 1690 940 712 10 1
"Black Hawk" "CF W4 P2" 974 654 289 3 2
"Black Hawk" "CF W4 P3" 634 416 201 2 1
"Black Hawk" "CF W5 P1" 1588 868 682 10 1
"Black Hawk" "CF W5 P2" 1598 908 637 15 4
"Black Hawk" "CF W5 P3" 1650 772 847 10 1
"Black Hawk" Eagle 311 70 237 2 0
"Black Hawk" "Elk Run Heights Raymond" 1129 502 591 8 0
"Black Hawk" "Evansdale W1" 572 283 258 8 0
"Black Hawk" "Evansdale W2" 528 247 262 5 1
"Black Hawk" "Evansdale W3" 491 230 244 4 0
"Black Hawk" "Evansdale W4" 657 322 319 3 0
"Black Hawk" "Mt Vernon" 660 241 399 7 0
"Black Hawk" "Poyner P1 East Wloo" 558 219 315 7 0
"Black Hawk" "Poyner P2 Gilb Fox Jesup" 1192 465 699 8 0
"Black Hawk" "Spring Creek" 213 58 149 2 0
"Black Hawk" Union 650 226 414 2 0
"Black Hawk" "Washington Janesville" 427 144 268 7 0
"Black Hawk" "WL W1 P1" 1313 706 572 5 0
"Black Hawk" "WL W1 P2" 1206 658 513 12 1
"Black Hawk" "WL W1 P3" 919 589 294 9 0
"Black Hawk" "WL W1 P4" 1244 622 584 12 0
"Black Hawk" "WL W1 P5" 1112 590 501 4 0
"Black Hawk" "WL W1 P6" 1908 812 1062 5 1
"Black Hawk" "WL W2 P1" 812 453 338 5 1
"Black Hawk" "WL W2 P2" 727 450 261 6 0
"Black Hawk" "WL W2 P3" 1139 636 469 8 0
"Black Hawk" "WL W2 P4" 1739 941 754 18 1
"Black Hawk" "WL W2 P5" 1360 711 600 13 1
"Black Hawk" "WL W2 P6" 1290 609 660 4 0
"Black Hawk" "WL W3 P1" 1017 573 411 9 1
"Black Hawk" "WL W3 P2" 985 604 346 11 0
"Black Hawk" "WL W3 P3" 524 430 79 6 1
"Black Hawk" "WL W3 P4" 623 439 155 7 3
"Black Hawk" "WL W3 P5" 1391 784 551 18 0
"Black Hawk" "WL W3 P6" 684 463 184 9 0
"Black Hawk" "WL W4 P1" 760 660 82 8 1
"Black Hawk" "WL W4 P2" 562 470 74 4 0
"Black Hawk" "WL W4 P3" 474 374 79 6 0
"Black Hawk" "WL W4 P4" 763 498 229 6 2
"Black Hawk" "WL W4 P5" 868 684 162 10 0
"Black Hawk" "WL W4 P6" 631 347 260 4 0
"Black Hawk" "WL W5 P1" 435 287 132 6 0
"Black Hawk" "WL W5 P2" 1021 612 370 13 0
"Black Hawk" "WL W5 P3" 882 554 301 9 1
"Black Hawk" "WL W5 P4" 1167 662 470 16 1
"Black Hawk" "WL W5 P5" 1335 738 570 8 1
"Black Hawk" "WL W5 P6" 1093 630 433 8 0
Boone "Boone 1st Ward- BN1" 1328 599 651 23 3
Boone "Boone 2nd Ward- BN2" 1478 671 769 10 0
Boone "Boone 3rd Ward- BN3" 1377 701 637 14 0
Boone "Boone 4th Ward/Des Monies" 1772 751 934 22 0
Boone "Boone 5th Ward- BN5" 1316 566 696 19 1
Boone "Madrid 1st Ward- MD1" 521 239 267 3 0
Boone "Madrid 2nd Ward- MD2" 543 223 296 9 1
Boone "Madrid 3rd Ward- MD3" 461 198 242 5 0
Boone "Ogden- OG" 1112 417 653 15 0
Boone "Rural Precinct 1- RP1" 743 310 407 9 0
Boone "Rural Precinct 2- RP2" 1168 470 661 10 1
Boone "Rural Precinct 3- RP3" 501 157 327 4 1
Boone "Rural Precinct 4- RP4" 1281 436 816 8 0
Boone "Rural Precinct 5- RP5" 430 160 248 7 0
Boone "Rural Precinct 6- RP6" 1159 418 711 9 0
Bremer "City of Denver/Jefferson Twp" 2050 752 1252 16 1
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 312 110 195 1 0
Bremer "City of Janesville/Jackson Twp" 1022 389 616 5 0
Bremer "Lafayette Twp/Warren Twp" 799 299 482 4 0
Bremer "City of Plainfield/Polk Twp/Douglas Twp" 765 248 497 3 0
Bremer "City of Readlyn/Franklin Twp/Maxfield Twp" 989 287 674 5 0
Bremer "City of Sumner/Dayton Twp/Sumner #2 Twp" 1507 484 992 13 1
Bremer "City of Tripoli/Fremont Twp" 894 372 490 6 1
Bremer "City of Waverly Ward 1/ East Washington Twp" 1607 731 849 6 0
Bremer "City of Waverly Ward 2/ NE 1/4 Sec 36 Washington Twp" 1254 567 659 6 0
Bremer "City of Waverly Ward 3" 668 364 278 5 0
Bremer "City of Waverly Ward 4" 1232 609 592 9 0
Bremer "City of Waverly Ward 5/West Washington Twp" 1351 699 620 5 2
Buchanan Jesup 1259 488 720 13 0
Buchanan Brandon 433 158 262 3 0
Buchanan Fairbank 608 236 357 3 1
Buchanan Perry-Westburg 695 235 439 6 0
Buchanan "Independence 1st Ward" 1264 510 722 8 0
Buchanan "Independence 2nd Ward" 664 319 323 6 1
Buchanan "Independence 3rd Ward" 1152 480 643 11 0
Buchanan "Independence 4th Ward" 530 262 237 11 0
Buchanan "Independence 5th Ward" 563 266 278 2 0
Buchanan Hazleton 530 196 308 10 0
Buchanan Rowley 620 226 369 5 2
Buchanan Winthrop 766 307 436 6 0
Buchanan Aurora 570 221 333 4 0
Buchanan Middlefield-Newton 356 128 221 2 0
Buchanan Quasqueton 694 260 415 6 1
"Buena Vista" ACFC 593 153 428 2 0
"Buena Vista" ALNE 1194 376 774 13 2
"Buena Vista" LKHM 694 214 462 5 1
"Buena Vista" NENP 691 174 497 5 0
"Buena Vista" SMLR 1251 322 894 11 1
"Buena Vista" SL01 811 447 338 6 1
"Buena Vista" SL02 449 271 155 10 1
"Buena Vista" SL03 981 432 516 10 0
"Buena Vista" SL04 834 485 329 11 1
"Buena Vista" TRWG 496 148 331 2 0
Butler 1-GR 1068 398 640 10 0
Butler 2-CL 1317 453 824 14 0
Butler 3-DU 756 152 573 12 0
Butler 4-AL 754 175 552 8 1
Butler 5-AP 944 210 712 5 0
Butler 6-SR 1266 466 756 6 1
Butler 7-PB 1313 403 881 6 0
Butler 8-NH 591 217 353 8 0
Calhoun "Butler Williams" 490 158 311 1 1
Calhoun "Calhoun, Jackson, Elm Grove & Lake City" 1095 349 706 6 0
Calhoun Cedar 185 45 137 1 0
Calhoun "Center, Logan, Twin Lakes, Garfield & Lake Creek" 465 108 342 5 2
Calhoun "Greenfield and Lincoln 2" 223 49 168 0 0
Calhoun "Lincoln 1" 984 284 671 6 0
Calhoun Reading 271 75 191 1 0
Calhoun "Rockwell City" 906 324 550 7 1
Calhoun Sherman 343 80 259 3 0
Calhoun Union 250 59 178 2 3
Carroll "Arcadia Precinct" 397 97 292 3 0
Carroll "Carroll Ward One" 1430 473 924 12 0
Carroll "Carroll Ward Two - N1/2 Maple River" 1622 620 954 17 2
Carroll "Carroll Ward Three - S1/2 Maple River" 1324 486 786 13 2
Carroll "Carroll Ward Four" 1138 457 642 11 3
Carroll "Eden Precinct" 355 88 260 0 0
Carroll "Ewoldt Precinct" 967 299 635 15 2
Carroll "Glidden-Richland Precinct" 872 248 599 5 0
Carroll "Pleasant Valley-Newton Precinct" 459 97 354 1 0
Carroll "Sheridan-Grant-Jasper Precinct" 655 207 429 6 1
Carroll "Union Precinct" 782 230 522 7 0
Carroll "Washington - Roselle Precinct" 521 132 371 4 0
Carroll "Wheatland - Kniest Precinct" 640 146 477 2 1
Cass "AT1 / MR / BR-GV-WS-PY-TWPS" 1268 387 854 8 1
Cass "AT2, 3" 1291 458 789 8 4
Cass "AT4, 5" 1621 558 1026 12 1
Cass "LW / CS-BG TWPS" 474 125 343 3 0
Cass "GS / PL-NO TWPS" 874 226 631 6 0
Cass "CU / UN TWP" 229 53 173 2 0
Cass "MS / MS TWP" 308 107 192 4 1
Cass "AN / WI / GN-LN-BN-FR TWPS" 967 315 615 11 0
Cass "Ed TWP / VI TWP" 133 30 102 0 0
Cedar CASS/CENTER/IOWA/ROCHESTER 1395 499 857 12 0
Cedar DAYTON/FAIRFIELD 807 269 509 5 0
Cedar "FARMINGTON/SUGAR CREEK" 1528 494 987 13 0
Cedar "FREMONT/RED OAK" 563 204 339 6 1
Cedar GOWER/SPRINGDALE 807 406 382 4 0
Cedar INLAND 406 93 304 2 0
Cedar LINN/PIONEER 1115 424 657 5 0
Cedar MASSILLON/SPRINGFIELD 830 274 533 7 1
Cedar "TIPTON 1" 508 229 262 4 1
Cedar "TIPTON 2" 590 288 288 3 0
Cedar "TIPTON 3" 571 260 299 3 1
Cedar "WEST BRANCH 1" 1421 860 518 10 2
"Cerro Gordo" "Clear Lake Ward 1" 1563 624 915 7 1
"Cerro Gordo" "Clear Lake Ward 2" 1664 720 907 7 2
"Cerro Gordo" "Clear Lake Ward 3" 1447 631 783 7 0
"Cerro Gordo" "Clear Lake / Grant / Union Twps Pct" 1392 482 879 13 2
"Cerro Gordo" "Falls Twp - Plymouth Pct" 345 153 176 8 1
"Cerro Gordo" "Falls Twp - Rock Falls Pct" 234 105 122 3 0
"Cerro Gordo" "Geneseo Twp Pct" 686 271 394 8 0
"Cerro Gordo" "Grimes Twp - Meservey Pct" 152 54 92 2 0
"Cerro Gordo" "Grimes Twp - Thornton Pct" 250 85 152 3 1
"Cerro Gordo" "Lake / Lincoln Twps Pct" 311 93 216 0 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 325 138 179 2 0
"Cerro Gordo" "Mason City W-1 P-1" 803 485 289 10 0
"Cerro Gordo" "Mason City W-1 P-2" 1188 666 484 11 0
"Cerro Gordo" "Mason City W-1 P-3" 1351 683 647 7 0
"Cerro Gordo" "Mason City W-2 P-1" 770 456 279 10 2
"Cerro Gordo" "Mason City W-2 P-2" 1637 922 685 15 0
"Cerro Gordo" "Mason City W-2 P-3" 939 536 363 15 0
"Cerro Gordo" "Mason City W-3 P-1" 1144 666 450 10 1
"Cerro Gordo" "Mason City W-3 P-2" 971 539 395 11 0
"Cerro Gordo" "Mason City W-3 P-3" 1760 900 810 17 1
"Cerro Gordo" "Mason City W-4 P-1" 868 528 296 15 2
"Cerro Gordo" "Mason City W-4 P-2" 1061 571 455 11 1
"Cerro Gordo" "Mason City W-4 P-3" 1399 759 607 7 2
"Cerro Gordo" "Mason South / Bath Twps Pct" 391 146 235 2 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 377 138 226 4 0
"Cerro Gordo" "Portland / Owen / Dougherty Twps Pct" 502 183 303 6 0
Cherokee "1 - Aurelia" 990 304 656 10 0
Cherokee "2 - Cleghorn" 1345 353 960 11 0
Cherokee "3 - Quimby" 801 190 586 8 0
Cherokee "4 - Cherokee" 760 182 559 6 1
Cherokee "5 - Cherokee Ward 1" 923 338 551 16 1
Cherokee "6 - Cherokee Ward 2" 723 278 414 5 1
Cherokee "7 - Cherokee Ward 3" 883 357 488 11 1
Chickasaw Bradford 1236 407 777 18 1
Chickasaw Chickasaw 232 76 143 2 0
Chickasaw Dayton-Richland 401 116 274 3 0
Chickasaw "Deerfield-Washington 2" 435 153 266 5 0
Chickasaw Dresden-Fredericksburg 869 276 567 3 0
Chickasaw Jacksonville-Utica 370 109 251 5 0
