COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Kaine Stewart Waters Other
"Amherst County" "102 - New Glasgow" 1067 371 675 20 1
"Amherst County" "103 - Coolwell" 536 129 394 13 0
"Amherst County" "201 - Court House" 1681 691 957 30 3
"Amherst County" "202 - Temperance" 645 182 459 4 0
"Amherst County" "301 - Monroe" 706 206 489 11 0
"Amherst County" "302 - Elon" 1724 458 1242 24 0
"Amherst County" "303 - Pleasant View" 404 117 276 9 2
"Amherst County" "401 - Amelon" 1835 622 1174 37 2
"Amherst County" "402 - Lonco" 451 144 298 9 0
"Amherst County" "501 - Madison" 1933 798 1095 40 0
"Amherst County" "Ab - Central Absentee Precinct" 756 350 392 12 2
"Amherst County" Provisional 7 4 3 0 0
"Appomattox County" "101 - Vera" 473 99 360 14 0
"Appomattox County" "102 - Pamplin" 830 242 573 14 1
"Appomattox County" "201 - Chap" 321 141 178 2 0
"Appomattox County" "202 - Spout Spring" 1032 201 817 13 1
"Appomattox County" "301 - Us 460" 640 158 475 7 0
"Appomattox County" "302 - Stonewall" 767 199 560 8 0
"Appomattox County" "401 - Courthouse" 1081 301 757 22 1
"Appomattox County" "501 - Oakville" 827 247 572 8 0
"Appomattox County" "502 - Agee" 341 113 221 7 0
"Appomattox County" "Ab - Central Absentee Precinct" 368 127 237 4 0
"Appomattox County" Provisional 1 0 1 0 0
"Arlington County" "1 - Arlington" 1551 1324 200 25 2
"Arlington County" "2 - Ashton Heights" 1815 1502 261 44 8
"Arlington County" "3 - Aurora Hills" 1105 830 233 37 5
"Arlington County" "4 - Ballston" 1788 1434 290 58 6
"Arlington County" "5 - Barcroft" 1463 1188 231 38 6
"Arlington County" "6 - Crystal City" 1413 1116 263 28 6
"Arlington County" "7 - Cherrydale" 1729 1392 288 44 5
"Arlington County" "8 - Hume" 2044 1604 366 62 12
"Arlington County" "9 - Columbia" 2364 1942 353 59 10
"Arlington County" "10 - Wilson" 2089 1674 343 64 8
"Arlington County" "11 - East Falls Church" 1270 985 252 28 5
"Arlington County" "12 - Fairlington" 1809 1445 288 68 8
"Arlington County" "13 - Glen Carlyn" 1187 944 211 27 5
"Arlington County" "14 - Clarendon" 1359 1085 211 61 2
"Arlington County" "15 - Lyon Park" 947 761 160 25 1
"Arlington County" "16 - Lyon Village" 1715 1378 265 61 11
"Arlington County" "17 - Overlee Knolls" 1848 1475 324 40 9
"Arlington County" "18 - Park Lane" 2516 2044 389 72 11
"Arlington County" "19 - Rosslyn" 1923 1574 297 45 7
"Arlington County" "20 - Thrifton" 1612 1191 367 46 8
"Arlington County" "21 - Virginia Highlands" 915 701 179 31 4
"Arlington County" "22 - Abingdon" 1938 1569 300 61 8
"Arlington County" "23 - Westover" 1661 1345 259 51 6
"Arlington County" "24 - Woodlawn" 2150 1770 313 59 8
"Arlington County" "25 - Arlington Forest" 1716 1354 305 47 10
"Arlington County" "26 - Fillmore" 2202 1813 305 79 5
"Arlington County" "27 - Jefferson" 1813 1486 281 42 4
"Arlington County" "28 - Wakefield" 1954 1654 249 44 7
"Arlington County" "29 - Dominion Hills" 1733 1412 277 42 2
"Arlington County" "30 - Glebe" 1729 1490 194 42 3
"Arlington County" "31 - Lexington" 1834 1479 315 35 5
"Arlington County" "32 - Oakridge" 781 577 179 21 4
"Arlington County" "33 - Rock Spring" 1797 1336 422 32 7
"Arlington County" "34 - Yorktown" 1585 1247 291 36 11
"Arlington County" "35 - Madison" 1949 1340 564 31 14
"Arlington County" "36 - Marshall" 1882 1458 365 52 7
"Arlington County" "37 - Nottingham" 1630 1258 326 41 5
"Arlington County" "38 - Arlington View" 1579 1352 178 46 3
"Arlington County" "39 - Ashlawn" 996 796 169 30 1
"Arlington County" "40 - Virginia Square" 2158 1720 360 70 8
"Arlington County" "41 - Navy League" 1642 1345 229 62 6
"Arlington County" "42 - Shirlington" 1428 1192 186 46 4
"Arlington County" "43 - Campbell" 1308 1159 126 18 5
"Arlington County" "44 - Dawson Terrace" 1329 1105 176 45 3
"Arlington County" "45 - Buckingham" 1345 1121 178 44 2
"Arlington County" "46 - Central" 2031 1638 307 77 9
"Arlington County" "47 - Four Mile Run" 1354 1170 143 38 3
"Arlington County" "48 - Ausa" 1351 1042 257 46 6
"Arlington County" "49 - Monroe" 1020 837 137 44 2
"Arlington County" "50 - Crystal Plaza" 1511 1157 297 46 11
"Arlington County" "51 - Taylor" 511 386 113 10 2
"Arlington County" "52 - Gunston" 1334 1092 193 41 8
"Arlington County" "53 - Met Park" 1625 1282 287 47 9
"Arlington County" "54 - Garfield Park" 857 698 109 43 7
"Arlington County" "Ab - Central Absentee Precinct" 20589 17893 2307 335 54
"Arlington County" Provisional 129 96 27 5 1
"Augusta County" "101 - Jolivue" 812 290 505 16 1
"Augusta County" "102 - Stuarts Draft Elementary" 898 304 576 17 1
"Augusta County" "103 - Verona" 1455 392 1024 36 3
"Augusta County" "201 - Crimora" 1484 371 1084 29 0
"Augusta County" "202 - New Hope" 965 234 719 11 1
"Augusta County" "203 - Weyers Cave" 1486 447 1005 30 4
"Augusta County" "301 - Fort Defiance" 2272 670 1538 62 2
"Augusta County" "302 - North River" 604 137 456 11 0
"Augusta County" "303 - Mount Solon" 744 126 609 7 2
"Augusta County" "304 - Churchville Fire Station" 717 175 536 6 0
"Augusta County" "401 - Buffalo Gap" 792 188 588 16 0
"Augusta County" "402 - Churchville Elementary" 819 195 611 13 0
"Augusta County" "403 - Craigsville" 529 103 420 6 0
"Augusta County" "404 - Deerfield" 265 50 209 5 1
"Augusta County" "405 - Cedar Green" 1046 354 670 22 0
"Augusta County" "501 - Greenville" 1346 326 991 27 2
"Augusta County" "502 - Middlebrook" 690 171 503 16 0
"Augusta County" "503 - Spottswood" 689 148 537 4 0
"Augusta County" "504 - White Hill" 1407 334 1034 36 3
"Augusta County" "601 - Sherando" 954 250 689 15 0
"Augusta County" "602 - Ridgeview" 2077 538 1504 32 3
"Augusta County" "603 - Lyndhurst" 1483 462 984 34 3
"Augusta County" "801 - Dooms" 1075 283 775 15 2
"Augusta County" "802 - Fishersville" 1966 671 1262 32 1
"Augusta County" "803 - Wilson" 1568 618 912 36 2
"Augusta County" "Ab - Central Absentee Precinct" 1646 579 1048 16 3
"Augusta County" Provisional 18 11 7 0 0
"Bath County" "101 - Warm Springs" 290 119 167 4 0
"Bath County" "102 - Mountain Grove" 58 13 43 1 1
"Bath County" "201 - Hot Springs" 249 104 143 1 1
"Bath County" "301 - Fairview" 264 57 203 4 0
"Bath County" "302 - Burnsville" 62 16 46 0 0
"Bath County" "401 - Millboro" 364 106 253 5 0
"Bath County" "501 - Healing Springs" 349 114 225 6 4
"Bath County" "Ab - Central Absentee Precinct" 111 46 62 3 0
"Bath County" Provisional 1 1 0 0 0
"Bedford County" "101 - Goodview Elem School" 1432 310 1099 22 1
"Bedford County" "102 - Hardy Vol Fire Co" 625 164 457 4 0
"Bedford County" "103 - Chamblissburg Baptist Church" 1050 264 776 10 0
"Bedford County" "104 - Stewartsville Rescue Squad" 918 228 678 11 1
"Bedford County" "201 - Bedford Christian Church" 560 152 402 6 0
"Bedford County" "202 - Staunton River High School" 721 181 533 7 0
"Bedford County" "203 - Moneta Elem School" 1486 417 1059 10 0
"Bedford County" "204 - Quaker Baptist Church" 511 142 361 7 1
"Bedford County" "205 - Saunders Vol Fire Co" 1195 326 858 11 0
"Bedford County" "301 - New London Academy" 1534 330 1164 38 2
"Bedford County" "302 - Bedford Regional Water Auth" 1000 253 732 14 1
"Bedford County" "303 - Bethesda United Methodist Church" 638 153 475 10 0
"Bedford County" "304 - The Well Church" 676 178 487 11 0
"Bedford County" "305 - Huddleston Elem School" 515 99 406 10 0
"Bedford County" "306 - Forest Fire Station #2" 884 163 712 9 0
"Bedford County" "401 - Forest Elementary School" 1641 404 1206 31 0
"Bedford County" "402 - Thomas Jefferson Elem School" 925 274 625 26 0
"Bedford County" "403 - Knights Of Columbus Bldg" 1944 562 1324 56 2
"Bedford County" "404 - St. Paul Baptist Church" 1449 343 1086 19 1
"Bedford County" "502 - Big Island Elem School" 373 99 270 4 0
"Bedford County" "503 - Sedalia Center" 518 129 381 8 0
"Bedford County" "504 - Suck Springs Baptist Church" 791 178 598 15 0
"Bedford County" "505 - Boonsboro Elementary School" 1487 517 937 32 1
"Bedford County" "506 - Boonsboro Ruritan Club" 2136 563 1527 46 0
"Bedford County" "601 - Montvale Elem School" 948 235 695 18 0
"Bedford County" "602 - Shady Grove Fire Department" 1000 247 745 8 0
"Bedford County" "603 - Thaxton Baptist Church #1" 290 64 222 4 0
"Bedford County" "604 - Bedford Welcome Center" 1403 461 907 35 0
"Bedford County" "701 - Goode Vol Rescue Squad" 1557 320 1213 24 0
"Bedford County" "702 - Liberty High School" 807 219 579 9 0
"Bedford County" "703 - Thaxton Baptist Church #2" 617 145 462 10 0
"Bedford County" "704 - Bedford Central Library" 1575 624 913 38 0
"Bedford County" "Ab - Central Absentee Precinct" 1252 457 773 20 2
"Bedford County" "Ab - Central Absentee Precinct" 1080 428 633 19 0
"Bedford County" Provisional 8 3 5 0 0
"Bedford County" Provisional 2 0 1 1 0
"Bland County" "101 - Bastian" 315 61 249 3 2
"Bland County" "102 - Ceres" 309 62 242 5 0
"Bland County" "201 - Davis" 92 23 67 2 0
"Bland County" "202 - Seddon" 564 117 437 9 1
"Bland County" "301 - Hollybrook" 284 48 230 6 0
"Bland County" "302 - Mechanicsburg" 154 24 130 0 0
"Bland County" "401 - Rocky Gap" 612 130 477 5 0
"Bland County" "Ab - Central Absentee Precinct" 123 39 84 0 0
"Bland County" Provisional 0 0 0 0 0
"Botetourt County" "101 - Daleville" 1553 528 1003 22 0
"Botetourt County" "102 - Greenfield" 1739 448 1258 31 2
"Botetourt County" "201 - Blue Ridge" 1525 408 1090 27 0
"Botetourt County" "202 - Rainbow Forest" 1584 433 1129 22 0
