COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Kaine Stewart Waters Other
"Chesapeake City" "55 - Georgetown East" 1081 871 190 18 2
"Chesapeake City" "56 - Green Tree" 1162 749 380 31 2
"Chesapeake City" "57 - Cypress" 1368 898 444 24 2
"Chesapeake City" "58 - Expressway" 593 449 136 8 0
"Chesapeake City" "59 - Clearfield" 1129 606 502 20 1
"Chesapeake City" "60 - Parker Road" 1911 710 1158 42 1
"Chesapeake City" "61 - Centerville" 1263 442 802 17 2
"Chesapeake City" "62 - Fentress" 1554 556 976 21 1
"Chesapeake City" "63 - Poplar Branch" 990 292 677 18 3
"Chesapeake City" "Ab - Central Absentee Precinct" 2316 1635 639 34 8
"Chesapeake City" "Ab - Central Absentee Precinct" 4055 2211 1781 60 3
"Chesapeake City" Provisional 35 22 13 0 0
"Chesapeake City" Provisional 40 25 15 0 0
"Chesterfield County" "101 - Bellwood" 1124 631 473 20 0
"Chesterfield County" "102 - South Chester" 1790 920 838 30 2
"Chesterfield County" "103 - Enon" 2335 1066 1231 34 4
"Chesterfield County" "104 - North Chester" 2120 857 1220 40 3
"Chesterfield County" "105 - Drewrys Bluff" 1325 829 476 19 1
"Chesterfield County" "106 - Harrowgate" 2645 1536 1084 22 3
"Chesterfield County" "107 - Wells" 1782 993 765 24 0
"Chesterfield County" "108 - Ecoff" 2601 1090 1471 38 2
"Chesterfield County" "109 - Elizabeth Scott" 2854 1524 1281 47 2
"Chesterfield County" "110 - Dutch Gap" 1308 631 657 18 2
"Chesterfield County" "111 - Iron Bridge" 3046 1596 1411 36 3
"Chesterfield County" "112 - Carver" 1681 942 716 20 3
"Chesterfield County" "201 - Gates" 1478 718 734 26 0
"Chesterfield County" "202 - Beulah" 2230 1530 662 35 3
"Chesterfield County" "203 - Bird" 567 258 294 13 2
"Chesterfield County" "204 - Jacobs" 1295 769 498 26 2
"Chesterfield County" "205 - Falling Creek" 2099 1489 592 18 0
"Chesterfield County" "206 - Belmont" 1226 1059 158 9 0
"Chesterfield County" "207 - Chippenham" 686 516 164 6 0
"Chesterfield County" "208 - Meadowbrook" 1822 1365 440 16 1
"Chesterfield County" "209 - Salem Church" 2194 1153 983 53 5
"Chesterfield County" "210 - Five Forks" 2646 1788 821 35 2
"Chesterfield County" "211 - Nash" 2754 1074 1635 44 1
"Chesterfield County" "212 - St. Luke's" 1162 585 560 15 2
"Chesterfield County" "213 - Southside" 3049 2506 511 32 0
"Chesterfield County" "214 - Hopkins" 263 226 34 3 0
"Chesterfield County" "215 - North Bird" 778 581 193 4 0
"Chesterfield County" "301 - Ettrick" 2238 1866 359 11 2
"Chesterfield County" "302 - Deer Run" 864 367 484 13 0
"Chesterfield County" "303 - Matoaca" 2339 1212 1104 18 5
"Chesterfield County" "304 - Winfrees Store" 2459 755 1683 19 2
"Chesterfield County" "305 - Beach" 815 212 591 12 0
"Chesterfield County" "306 - Winterpock" 2429 709 1678 36 6
"Chesterfield County" "307 - Cosby" 2940 1481 1404 51 4
"Chesterfield County" "308 - South Manchester" 769 457 302 9 1
"Chesterfield County" "309 - Skinquarter" 3690 1560 2058 69 3
"Chesterfield County" "310 - Tomahawk" 2174 1003 1111 59 1
"Chesterfield County" "313 - Woolridge" 2950 1366 1516 64 4
"Chesterfield County" "315 - Bailey Bridge" 2179 729 1401 46 3
"Chesterfield County" "316 - Spring Run" 1995 947 1003 40 5
"Chesterfield County" "317 - Birkdale" 2603 1222 1345 33 3
"Chesterfield County" "318 - West Beach" 743 333 403 7 0
"Chesterfield County" "401 - Harbour Pointe" 1427 711 668 47 1
"Chesterfield County" "402 - Genito" 2959 1642 1250 58 9
"Chesterfield County" "403 - Brandermill" 2314 1199 1064 50 1
"Chesterfield County" "404 - Providence" 1871 1091 736 41 3
"Chesterfield County" "405 - La Prade" 2122 1127 957 36 2
"Chesterfield County" "406 - Smoketree" 1828 881 894 49 4
"Chesterfield County" "407 - Monacan" 1245 574 644 24 3
"Chesterfield County" "408 - Reams" 2724 1797 870 54 3
"Chesterfield County" "409 - Manchester" 1118 668 433 16 1
"Chesterfield County" "410 - Wagstaff" 1237 691 524 21 1
"Chesterfield County" "411 - Swift Creek" 2104 1079 978 44 3
"Chesterfield County" "413 - Shenandoah" 1846 1061 747 34 4
"Chesterfield County" "414 - Crenshaw" 2835 1435 1356 40 4
"Chesterfield County" "415 - Evergreen" 2186 1117 1017 47 5
"Chesterfield County" "416 - Evergreen West" 1111 640 449 19 3
"Chesterfield County" "417 - Edgewater" 1120 602 492 25 1
"Chesterfield County" "501 - Huguenot" 1494 867 583 34 10
"Chesterfield County" "502 - Crestwood" 1132 631 474 24 3
"Chesterfield County" "503 - Midlothian" 2089 1010 1042 35 2
"Chesterfield County" "504 - Robious" 3180 1573 1528 62 17
"Chesterfield County" "505 - Bon Air" 2235 1299 871 57 8
"Chesterfield County" "506 - Greenfield" 2065 1194 818 52 1
"Chesterfield County" "507 - Salisbury" 2842 1286 1469 83 4
"Chesterfield County" "508 - Belgrade" 1877 1032 803 40 2
"Chesterfield County" "509 - Cranbeck" 1422 889 496 37 0
"Chesterfield County" "510 - Sycamore" 2231 1089 1070 69 3
"Chesterfield County" "511 - Black Heath" 1513 702 765 39 7
"Chesterfield County" "513 - Beaufont" 952 719 209 23 1
"Chesterfield County" "514 - Watkins" 2492 1209 1201 77 5
"Chesterfield County" "515 - Davis" 1692 1391 286 13 2
"Chesterfield County" "516 - Pocoshock" 1102 864 217 21 0
"Chesterfield County" "517 - Roseland" 1059 452 588 19 0
"Chesterfield County" "518 - Midlothian North" 2489 1097 1337 51 4
"Chesterfield County" "Ab - Central Absentee Precinct" 3301 1736 1513 46 6
"Chesterfield County" "Ab - Central Absentee Precinct" 8450 5179 3110 143 18
"Chesterfield County" Provisional 34 25 8 1 0
"Chesterfield County" Provisional 109 81 24 4 0
"Clarke County" "101 - Russell" 1340 489 828 23 0
"Clarke County" "201 - Berryville" 1117 569 519 28 1
"Clarke County" "301 - Millwood" 979 439 522 17 1
"Clarke County" "302 - Pine Grove" 427 190 230 7 0
"Clarke County" "401 - White Post" 1282 562 700 19 1
"Clarke County" "501 - Buckmarsh" 904 394 503 7 0
"Clarke County" "502 - Blue Ridge" 364 159 192 13 0
"Clarke County" "Ab - Central Absentee Precinct" 769 404 351 12 2
"Clarke County" Provisional 4 4 0 0 0
"Colonial Heights City" "1 - First" 857 347 480 30 0
"Colonial Heights City" "2 - Second" 917 312 588 17 0
"Colonial Heights City" "3 - Third" 1153 403 723 26 1
"Colonial Heights City" "4 - Fourth" 1406 489 900 16 1
"Colonial Heights City" "5 - Fifth" 1450 349 1078 21 2
"Colonial Heights City" "Ab - Central Absentee Precinct" 632 205 414 10 3
"Colonial Heights City" Provisional 0 0 0 0 0
"Covington City" "101 - Precinct 1-1" 280 125 149 6 0
"Covington City" "201 - Precinct 2-1" 317 155 155 6 1
"Covington City" "301 - Precinct 3-1" 276 170 106 0 0
"Covington City" "401 - Precinct 4-1" 418 155 252 11 0
"Covington City" "501 - Precinct 5-1" 401 135 257 9 0
"Covington City" "Ab - Central Absentee Precinct" 84 45 38 1 0
"Covington City" Provisional 0 0 0 0 0
"Craig County" "101 - Court House" 380 80 290 9 1
"Craig County" "201 - Ammendale Precinct" 494 100 389 5 0
"Craig County" "301 - Givens & Reynolds Store" 282 92 183 5 2
"Craig County" "303 - Marshalls Store" 235 77 154 3 1
"Craig County" "401 - Barbours Creek" 198 54 142 2 0
"Craig County" "402 - Paint Bank" 39 14 25 0 0
"Craig County" "403 - Craig Springs" 194 42 151 1 0
"Craig County" "501 - Craig City" 371 85 281 5 0
"Craig County" Provisional 0 0 0 0 0
"Culpeper County" "101 - West Fairfax" 2183 1166 955 58 4
"Culpeper County" "201 - East Fairfax" 1906 1108 749 44 5
"Culpeper County" "302 - Eggbornsville" 1087 327 739 20 1
"Culpeper County" "303 - Cardova" 859 296 544 18 1
"Culpeper County" "304 - Willow Shade" 417 219 187 10 1
"Culpeper County" "401 - Eldorado" 1172 417 740 15 0
"Culpeper County" "402 - Browns Store" 1883 696 1156 29 2
"Culpeper County" "501 - Jeffersonton" 1607 559 1016 31 1
"Culpeper County" "502 - Rixeyville" 1467 456 985 25 1
"Culpeper County" "601 - Mitchells" 268 100 164 4 0
"Culpeper County" "602 - Pearl Sample" 1698 713 949 33 3
"Culpeper County" "603 - South Ridge" 514 262 241 10 1
"Culpeper County" "702 - Brandy Station" 1576 545 1005 19 7
"Culpeper County" "703 - Lignum" 750 241 489 18 2
"Culpeper County" "704 - Richardsville" 391 110 273 7 1
"Culpeper County" "Ab - Central Absentee Precinct" 1619 874 718 20 7
"Culpeper County" Provisional 7 4 3 0 0
"Cumberland County" "101 - Precinct 1" 859 359 487 13 0
"Cumberland County" "201 - Precinct 2" 824 271 533 20 0
"Cumberland County" "301 - Precinct 3" 752 448 293 10 1
"Cumberland County" "401 - Precinct 4" 791 307 466 18 0
"Cumberland County" "501 - Precinct 5" 680 320 348 12 0
"Cumberland County" "Ab - Central Absentee Precinct" 287 143 143 1 0
"Cumberland County" Provisional 1 1 0 0 0
"Danville City" "1 - Ward One" 404 351 48 5 0
"Danville City" "2 - Ward Two" 442 295 140 7 0
"Danville City" "3 - Ward Three" 898 665 212 21 0
"Danville City" "4 - Ward Four" 1530 850 664 14 2
"Danville City" "6 - Ward Six" 417 371 42 4 0
"Danville City" "7 - Ward Seven" 746 651 91 4 0
"Danville City" "8 - Ward Eight" 730 526 199 5 0
"Danville City" "9 - Ward Nine" 665 384 273 6 2
"Danville City" "10 - Ward Ten" 914 555 346 13 0
"Danville City" "11 - Ward Eleven" 1258 891 358 8 1
"Danville City" "12 - Ward Twelve" 1377 883 480 14 0
"Danville City" "13 - Ward Thirteen" 1161 791 354 14 2
"Danville City" "14 - Ward Fourteen" 196 189 6 1 0
"Danville City" "15 - Ward Fifteen" 1066 558 496 10 2
"Danville City" "16 - Ward Sixteen" 1224 549 659 16 0
"Danville City" "17 - Ward Seventeen" 1134 365 752 15 2
"Danville City" "Ab - Central Absentee Precinct" 949 541 397 6 5
"Danville City" Provisional 4 3 1 0 0
"Dickenson County" "101 - South Clintwood" 842 274 563 3 2
"Dickenson County" "201 - Nora" 252 82 170 0 0
"Dickenson County" "202 - Frying Pan" 118 31 86 1 0
"Dickenson County" "203 - Clinchco" 389 140 246 3 0
"Dickenson County" "301 - West Dante" 161 16 144 1 0
"Dickenson County" "302 - Herald" 253 46 207 0 0
"Dickenson County" "303 - Ridge" 421 96 322 3 0
"Dickenson County" "401 - Haysi-Colley" 684 304 375 4 1
"Dickenson County" "501 - Tarpon" 216 89 126 0 1
"Dickenson County" "502 - North Clintwood" 655 207 446 1 1
"Dickenson County" "Ab - Central Absentee Precinct" 482 237 241 4 0
"Dickenson County" Provisional 2 2 0 0 0
"Dinwiddie County" "101 - White Oak" 418 106 309 2 1
"Dinwiddie County" "102 - Rocky Run" 613 175 437 1 0
"Dinwiddie County" "103 - Church Road" 986 197 782 5 2
"Dinwiddie County" "201 - Rohoic" 546 341 196 9 0
"Dinwiddie County" "202 - Sutherland" 1431 598 827 5 1
"Dinwiddie County" "301 - Reams" 434 152 277 5 0
"Dinwiddie County" "302 - New Hope" 703 260 434 7 2
"Dinwiddie County" "303 - Little Zion" 980 502 468 10 0
"Dinwiddie County" "401 - Dinwiddie" 1020 416 597 6 1
"Dinwiddie County" "402 - Mckenney" 570 251 313 6 0
"Dinwiddie County" "403 - Cherry Hill" 415 235 176 4 0
"Dinwiddie County" "501 - Edgehill" 193 147 45 1 0
"Dinwiddie County" "502 - Chesdin" 1443 1004 426 13 0
"Dinwiddie County" "Ab - Central Absentee Precinct" 823 480 339 4 0
"Dinwiddie County" Provisional 1 1 0 0 0
"Emporia City" "101 - Precinct 1-1" 303 221 78 4 0
"Emporia City" "201 - Precinct 2-1" 192 179 11 2 0
"Emporia City" "301 - Precinct 3-1" 244 111 129 3 1
"Emporia City" "401 - Precinct 4-1" 314 168 145 1 0
"Emporia City" "501 - Precinct 5-1" 182 171 10 1 0
"Emporia City" "601 - District 6" 282 127 152 3 0
"Emporia City" "701 - District 7" 199 136 59 4 0
"Emporia City" "Ab - Central Absentee Precinct" 74 50 24 0 0
"Emporia City" Provisional 0 0 0 0 0
"Essex County" "101 - Greater Tappahannock" 902 501 390 11 0
"Essex County" "201 - North" 942 620 318 4 0
"Essex County" "301 - South" 1130 439 680 11 0
"Essex County" "401 - Central" 1040 487 545 8 0
"Essex County" "Ab - Central Absentee Precinct" 402 217 182 2 1
"Essex County" Provisional 2 2 0 0 0
"Fairfax County" "104 - Chapel" 1496 985 476 31 4
"Fairfax County" "105 - Fairview" 2824 1950 806 61 7
"Fairfax County" "106 - Heritage" 1919 1448 439 30 2
"Fairfax County" "108 - Kings Park" 1497 993 472 28 4
"Fairfax County" "109 - Little Run" 891 608 264 18 1
"Fairfax County" "110 - North Springfield" 2430 1636 739 54 1
"Fairfax County" "113 - Canterbury" 2444 1669 713 52 10
"Fairfax County" "114 - Olde Creek" 1171 766 371 32 2
"Fairfax County" "115 - Ravensworth" 1109 710 368 28 3
"Fairfax County" "116 - Wakefield" 1474 1027 409 34 4
"Fairfax County" "117 - Woodson" 1657 1072 544 35 6
"Fairfax County" "118 - Lake Braddock" 2400 1759 574 63 4
"Fairfax County" "119 - Laurel" 2416 1630 727 53 6
"Fairfax County" "120 - Sideburn" 1941 1194 715 28 4
"Fairfax County" "121 - Villa" 1172 771 362 36 3
"Fairfax County" "123 - Robinson" 2423 1641 717 62 3
"Fairfax County" "125 - Signal Hill" 1869 1270 555 37 7
"Fairfax County" "126 - Bonnie Brae" 1463 1042 366 52 3
"Fairfax County" "127 - Burke Centre" 2660 1881 702 75 2
"Fairfax County" "128 - Cardinal" 1372 976 365 31 0
"Fairfax County" "129 - Keene Mill" 1068 738 305 25 0
"Fairfax County" "130 - Terra Centre" 1509 1013 448 45 3
"Fairfax County" "131 - Eagle View" 1973 1356 576 36 5
"Fairfax County" "132 - Monument" 2184 1618 511 51 4
"Fairfax County" "133 - Danbury" 450 337 102 11 0
"Fairfax County" "134 - University" 1691 1460 175 54 2
"Fairfax County" "201 - Armstrong" 2318 1681 574 61 2
"Fairfax County" "202 - Flint Hill" 1860 1188 631 34 7
"Fairfax County" "203 - Floris" 2286 1574 680 28 4
"Fairfax County" "204 - Madison" 521 399 114 8 0
"Fairfax County" "208 - Reston #1" 2113 1632 427 50 4
"Fairfax County" "209 - Reston #2" 1910 1528 341 41 0
"Fairfax County" "213 - Vienna #1" 2442 1671 712 55 4
"Fairfax County" "214 - Vienna #2" 1921 1328 546 38 9
"Fairfax County" "216 - Vienna #4" 977 697 257 23 0
"Fairfax County" "218 - Vienna #6" 1367 1024 321 21 1
"Fairfax County" "219 - Westbriar" 2112 1435 635 39 3
"Fairfax County" "220 - Dogwood" 2445 1872 529 41 3
"Fairfax County" "221 - Hunters Woods" 1737 1275 429 30 3
"Fairfax County" "222 - Reston #3" 1376 1126 223 24 3
"Fairfax County" "223 - Glade" 2345 1786 500 51 8
"Fairfax County" "224 - South Lakes" 2866 2241 548 71 6
"Fairfax County" "225 - Hughes" 2284 1828 397 58 1
"Fairfax County" "226 - Wolftrap" 2166 1447 671 41 7
"Fairfax County" "227 - Sunrise Valley" 1112 729 350 32 1
"Fairfax County" "229 - Fox Mill" 2895 1908 929 55 3
"Fairfax County" "233 - North Point" 2074 1392 652 26 4
"Fairfax County" "234 - Aldrin" 1748 1279 440 28 1
"Fairfax County" "235 - Frying Pan" 1708 1326 354 28 0
"Fairfax County" "236 - Stuart" 882 621 237 23 1
"Fairfax County" "237 - Mcnair" 1880 1484 349 44 3
"Fairfax County" "238 - Cameron Glen" 1978 1350 577 46 5
"Fairfax County" "240 - Colvin" 1483 907 553 22 1
"Fairfax County" "301 - Chain Bridge" 1730 1108 574 43 5
"Fairfax County" "302 - Chesterbrook" 1574 1033 502 31 8
"Fairfax County" "303 - Churchill" 885 604 262 17 2
"Fairfax County" "304 - Cooper" 1110 679 408 17 6
"Fairfax County" "305 - El Nido" 1302 921 348 29 4
"Fairfax County" "306 - Great Falls" 1235 682 534 14 5
"Fairfax County" "307 - Haycock" 1461 1033 393 29 6
"Fairfax County" "309 - Kenmore" 1961 1248 672 30 11
"Fairfax County" "310 - Kirby" 1178 843 307 22 6
"Fairfax County" "311 - Langley" 1123 665 416 34 8
"Fairfax County" "312 - Longfellow" 1487 1022 422 38 5
"Fairfax County" "314 - Mclean" 1330 883 402 39 6
"Fairfax County" "315 - Pimmit" 1923 1328 544 47 4
"Fairfax County" "316 - Salona #1" 524 331 181 9 3
"Fairfax County" "317 - Westhampton" 1372 959 386 19 8
"Fairfax County" "318 - Westmoreland" 845 566 258 19 2
"Fairfax County" "319 - Herndon #1" 2364 1654 636 67 7
"Fairfax County" "320 - Herndon #2" 2496 1855 568 70 3
"Fairfax County" "321 - Clearview" 2562 1702 785 70 5
"Fairfax County" "322 - Forestville" 1801 974 779 38 10
"Fairfax County" "323 - Shouse" 1386 917 455 13 1
"Fairfax County" "324 - Herndon #3" 2098 1589 446 61 2
"Fairfax County" "325 - Hutchison" 1313 1075 216 22 0
"Fairfax County" "327 - Sugarland" 2219 1440 731 47 1
"Fairfax County" "328 - Hickory" 1867 1134 685 44 4
"Fairfax County" "329 - Seneca" 2018 1194 792 31 1
"Fairfax County" "331 - Spring Hill" 1196 776 391 23 6
"Fairfax County" "332 - Coates" 2022 1608 371 39 4
"Fairfax County" "333 - Salona #2" 980 669 278 26 7
"Fairfax County" "401 - Bush Hill" 1984 1376 561 43 4
"Fairfax County" "402 - Cameron" 728 547 166 14 1
"Fairfax County" "403 - Forestdale" 778 559 205 13 1
"Fairfax County" "404 - Franconia" 2101 1583 482 35 1
"Fairfax County" "405 - Groveton" 1134 907 203 22 2
"Fairfax County" "406 - Hayfield" 1470 923 497 43 7
"Fairfax County" "408 - Mount Eagle" 1434 1179 202 51 2
"Fairfax County" "409 - Pioneer" 2113 1594 486 32 1
"Fairfax County" "410 - Rose Hill" 2673 1833 755 77 8
"Fairfax County" "411 - Virginia Hills" 1384 1027 317 36 4
"Fairfax County" "413 - Fairfield" 1323 1164 144 14 1
"Fairfax County" "415 - Crestwood" 1512 1031 450 29 2
"Fairfax County" "417 - Garfield" 2051 1479 536 29 7
"Fairfax County" "418 - Lynbrook" 1188 881 275 27 5
"Fairfax County" "419 - Lane" 2074 1639 386 47 2
"Fairfax County" "420 - Villages" 2428 1810 564 46 8
"Fairfax County" "421 - Kingstowne" 2055 1544 460 44 7
"Fairfax County" "422 - Van Dorn" 2196 1688 443 61 4
"Fairfax County" "423 - Clermont" 1695 1190 459 42 4
"Fairfax County" "424 - Huntley" 1679 1185 444 48 2
"Fairfax County" "426 - Greenspring" 1277 862 404 9 2
"Fairfax County" "427 - Island Creek" 1635 1212 382 36 5
"Fairfax County" "428 - Pinewood" 1683 1449 202 30 2
"Fairfax County" "429 - Hybla Valley" 1652 1419 207 22 4
"Fairfax County" "501 - Baileys" 1938 1573 334 31 0
"Fairfax County" "502 - Barcroft" 819 583 213 18 5
"Fairfax County" "503 - Belvedere" 1009 759 226 24 0
"Fairfax County" "504 - Bristow" 1417 1082 319 15 1
"Fairfax County" "505 - Glen Forest" 1605 1244 323 38 0
"Fairfax County" "506 - Holmes #1" 332 257 69 4 2
"Fairfax County" "507 - Lincolnia" 1888 1483 365 37 3
"Fairfax County" "508 - Masonville" 1698 1201 455 35 7
"Fairfax County" "509 - Plaza" 663 571 82 10 0
"Fairfax County" "510 - Parklawn" 1304 945 326 27 6
"Fairfax County" "511 - Ravenwood" 1507 1107 361 37 2
"Fairfax County" "512 - Sleepy Hollow" 925 645 246 31 3
"Fairfax County" "513 - Saint Albans" 1026 749 259 17 1
"Fairfax County" "513 - Saint Albans" 488 342 136 9 1
"Fairfax County" "514 - Crossroads" 699 597 93 9 0
"Fairfax County" "515 - Westlawn" 1035 771 242 22 0
"Fairfax County" "516 - Weyanoke" 1797 1408 353 28 8
"Fairfax County" "517 - Willston" 977 724 232 19 2
"Fairfax County" "518 - Columbia" 1532 1077 426 26 3
"Fairfax County" "519 - Hummer" 1133 791 319 21 2
"Fairfax County" "520 - Skyline" 1487 1254 210 20 3
"Fairfax County" "521 - Brook Hill" 1218 785 409 22 2
"Fairfax County" "522 - Camelot" 935 602 312 18 3
"Fairfax County" "523 - Poe" 1539 1097 400 37 5
"Fairfax County" "525 - Walnut Hill" 2076 1487 540 42 7
"Fairfax County" "526 - Bren Mar" 2030 1636 357 33 4
"Fairfax County" "527 - Edsall" 1264 877 353 28 6
"Fairfax County" "528 - Ridgelea" 813 549 239 22 3
"Fairfax County" "530 - Holmes #2" 1052 868 162 20 2
"Fairfax County" "601 - Belle Haven" 1305 860 405 29 11
"Fairfax County" "602 - Belleview" 1395 968 378 36 13
"Fairfax County" "604 - Bucknell" 2003 1611 354 37 1
"Fairfax County" "605 - Fort Hunt" 1480 974 460 40 6
"Fairfax County" "606 - Hollin Hall" 1669 1116 485 53 15
"Fairfax County" "607 - Huntington" 2254 1765 423 53 13
"Fairfax County" "608 - Kirkside" 1199 924 250 22 3
"Fairfax County" "609 - Marlan" 1392 910 440 37 5
"Fairfax County" "610 - Sherwood" 1224 925 269 23 7
"Fairfax County" "611 - Stratford" 1751 1177 539 29 6
"Fairfax County" "612 - Waynewood" 855 556 275 21 3
"Fairfax County" "613 - Westgate" 2130 1183 900 30 17
"Fairfax County" "614 - Riverside" 1280 789 464 23 4
"Fairfax County" "615 - Woodley" 1742 1178 525 36 3
"Fairfax County" "616 - Gunston" 1486 823 623 39 1
"Fairfax County" "617 - Lorton" 1281 1074 195 12 0
"Fairfax County" "618 - Newington" 3074 2181 811 73 9
"Fairfax County" "619 - Belvoir" 2041 1456 547 35 3
"Fairfax County" "621 - Grosvenor" 1387 1096 235 48 8
"Fairfax County" "622 - Lorton Station" 2018 1610 374 32 2
"Fairfax County" "623 - Alban" 1797 1351 407 31 8
"Fairfax County" "626 - Saratoga" 2100 1451 591 54 4
"Fairfax County" "627 - Woodlawn" 2247 1766 432 49 0
"Fairfax County" "628 - Laurel Hill" 2272 1811 432 27 2
"Fairfax County" "629 - South County" 1969 1218 709 41 1
"Fairfax County" "630- Army" 463 328 130 4 1
"Fairfax County" "701 - Blake" 2560 1917 592 45 6
"Fairfax County" "703 - Fort Buffalo" 1287 1013 244 25 5
"Fairfax County" "704 - Freedom Hill" 1320 955 349 15 1
"Fairfax County" "705 - Graham - Greenway" 2213 1684 463 54 12
"Fairfax County" "707 - Mantua" 1361 965 371 22 3
"Fairfax County" "708 - Marshall" 2817 2171 566 77 3
"Fairfax County" "709 - Mosby" 1907 1454 398 53 2
"Fairfax County" "710 - Pine Spring" 1428 1069 318 37 4
"Fairfax County" "711 - Price" 1198 821 353 20 4
"Fairfax County" "712 - Shreve" 944 702 211 29 2
"Fairfax County" "713 - Timber Lane" 1864 1473 349 36 6
"Fairfax County" "714 - Walker" 1962 1392 531 36 3
"Fairfax County" "717 - Woodburn" 1153 843 265 40 5
"Fairfax County" "718 - Pine Ridge" 1427 1019 370 33 5
"Fairfax County" "720 - Thoreau" 1827 1293 482 46 6
"Fairfax County" "721 - Merrifield" 2286 1851 365 65 5
"Fairfax County" "723 - Gallows East" 1092 860 208 24 0
"Fairfax County" "726 - Magarity" 2090 1587 456 44 3
"Fairfax County" "727 - Oakton" 1537 991 508 36 2
"Fairfax County" "729 - Nottoway" 1956 1456 456 38 6
"Fairfax County" "730 - Penderbrook" 2136 1525 565 44 2
"Fairfax County" "731 - Tysons" 1698 1256 381 55 6
"Fairfax County" "732 - Oak Marr" 2096 1334 706 46 10
"Fairfax County" "733 - Kilmer" 2470 1871 539 51 9
"Fairfax County" "734 - Hunters Branch" 1219 906 260 50 3
"Fairfax County" "735 - Rotonda" 727 523 190 14 0
"Fairfax County" "801 - Burke" 2695 1921 701 67 6
"Fairfax County" "802 - Cedar Lake" 777 579 180 17 1
"Fairfax County" "803 - Clifton" 2528 1216 1268 42 2
"Fairfax County" "804 - Colchester" 1126 641 472 11 2
"Fairfax County" "805 - Fairfax Station" 1017 582 415 17 3
"Fairfax County" "806 - Sydenstricker" 2013 1345 629 35 4
"Fairfax County" "807 - Hunt Valley" 1312 821 463 26 2
"Fairfax County" "811 - Pohick" 1240 923 286 28 3
"Fairfax County" "812 - Valley" 1748 1168 543 35 2
"Fairfax County" "815 - Woodyard" 1660 888 747 25 0
"Fairfax County" "824 - Orange" 2462 1562 833 62 5
"Fairfax County" "825 - Cherry Run" 1727 1117 582 25 3
"Fairfax County" "827 - Irving" 1632 1087 503 40 2
"Fairfax County" "833 - White Oaks" 1821 1262 511 44 4
"Fairfax County" "838 - Sangster" 1403 836 540 26 1
"Fairfax County" "839 - Silverbrook" 2174 1285 846 37 6
"Fairfax County" "840 - West Springfield" 1789 1219 529 34 7
"Fairfax County" "841 - Popes Head" 992 514 459 18 1
"Fairfax County" "842 - Parkway" 1436 869 540 24 3
"Fairfax County" "843 - Fair Lakes" 1941 1335 542 55 9
"Fairfax County" "844 - Centerpointe" 1563 1200 319 41 3
"Fairfax County" "845 - Fountainhead" 2378 1297 1031 41 9
"Fairfax County" "846 - Greenbriar East" 1995 1449 516 29 1
"Fairfax County" "847 - Greenbriar West" 1423 929 456 33 5
"Fairfax County" "848 - Fair Oaks" 1828 1281 518 28 1
"Fairfax County" "849 - Newgate" 2979 1734 1197 38 10
"Fairfax County" "850 - South Run" 1750 1015 704 24 7
"Fairfax County" "851 - Willow Springs" 1553 969 557 24 3
"Fairfax County" "901 - Centre Ridge" 1843 1332 464 47 0
"Fairfax County" "902 - Brookfield" 2421 1741 642 37 1
"Fairfax County" "903 - Cub Run" 2323 1470 791 59 3
"Fairfax County" "904 - Stonecroft" 955 558 366 28 3
"Fairfax County" "905 - Franklin" 584 385 189 8 2
"Fairfax County" "908 - Hidden Meadow" 1479 945 504 25 5
"Fairfax County" "909 - Oak Hill" 1425 967 424 34 0
"Fairfax County" "910 - London Towne" 2152 1571 509 66 6
"Fairfax County" "911 - Navy" 2080 1413 639 24 4
"Fairfax County" "913 - Rocky Run" 2470 1530 902 35 3
"Fairfax County" "914 - Vale" 1456 921 495 35 5
"Fairfax County" "915 - Virginia Run" 1695 873 783 39 0
"Fairfax County" "916 - Waples Mill" 2571 1589 919 58 5
"Fairfax County" "917 - Stone North" 1228 835 358 32 3
"Fairfax County" "918 - Centreville" 2526 1809 665 49 3
"Fairfax County" "919 - Green Trails" 2391 1698 645 44 4
"Fairfax County" "920 - Chantilly" 1724 1207 491 22 4
"Fairfax County" "921 - Deer Park" 2111 1254 798 52 7
"Fairfax County" "923 - Bull Run" 1453 791 635 21 6
"Fairfax County" "924 - Spindle" 1123 860 239 22 2
"Fairfax County" "925 - Old Mill" 1124 740 366 17 1
"Fairfax County" "926 - Powell" 2515 1820 649 43 3
"Fairfax County" "927 - Armfield" 1210 815 371 24 0
"Fairfax County" "928 - Poplar Tree" 1734 1123 569 41 1
"Fairfax County" "929 - Difficult Run" 490 268 209 10 3
"Fairfax County" "930 - Lees Corner" 1399 933 423 38 5
"Fairfax County" "931 - Carson" 1601 1144 423 33 1
"Fairfax County" "932 - Stone South" 1007 742 242 20 3
"Fairfax County" "933 - Compton" 424 287 127 9 1
"Fairfax County" "Ab - Central Absentee Precinct" 19307 13480 5506 255 66
"Fairfax County" "Ab - Central Absentee Precinct" 35406 27092 7745 491 78
"Fairfax County" "Ab - Central Absentee Precinct" 22276 17170 4753 295 58
"Fairfax County" Provisional 95 65 28 1 1
"Fairfax County" Provisional 254 197 47 9 1
"Fairfax County" Provisional 158 124 33 1 0
"Fairfax City" "1 - One" 1422 986 396 35 5
