DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
3 Bradford 7 838 470 368 0 0 0 40
3 Bradford 8 1430 332 1098 0 0 1 48
3 Bradford 9 994 334 660 0 0 1 32
8 Brevard 100 1755 489 1266 0 0 0 44
8 Brevard 102 755 271 484 0 0 0 10
8 Brevard 103 2935 808 2127 0 0 0 56
8 Brevard 104 3700 944 2756 0 0 0 98
8 Brevard 105 4470 1631 2839 0 0 1 134
8 Brevard 106 2054 380 1674 0 0 1 45
8 Brevard 107 1726 645 1081 0 0 1 27
8 Brevard 108 3663 2016 1647 0 0 1 75
8 Brevard 109 4285 1549 2736 0 0 0 85
8 Brevard 111 2100 803 1297 0 0 1 36
8 Brevard 112 2465 820 1645 0 0 2 44
8 Brevard 113 2465 827 1638 0 0 0 64
8 Brevard 114 4535 1747 2788 0 0 1 70
8 Brevard 115 2939 1084 1855 0 0 0 51
8 Brevard 116 3565 964 2601 0 0 0 60
8 Brevard 118 4592 1260 3332 0 0 0 96
8 Brevard 120 832 704 128 0 0 0 8
8 Brevard 121 1865 514 1351 0 0 0 29
8 Brevard 122 1913 604 1309 0 0 0 33
8 Brevard 123 2510 904 1606 0 0 0 61
8 Brevard 124 2989 1107 1882 0 0 1 62
8 Brevard 125 3064 968 2096 0 0 1 60
8 Brevard 126 0 0 0 0 0 0 0
8 Brevard 127 817 297 520 0 0 0 19
8 Brevard 128 4 0 4 0 0 0 0
8 Brevard 129 31 9 22 0 0 0 2
8 Brevard 130 0 0 0 0 0 0 0
8 Brevard 131 1262 447 815 0 0 0 37
8 Brevard 132 0 0 0 0 0 0 0
8 Brevard 133 0 0 0 0 0 0 0
8 Brevard 135 1621 452 1169 0 0 0 35
8 Brevard 136 0 0 0 0 0 0 0
8 Brevard 200 1596 665 931 0 0 0 31
8 Brevard 201 2675 845 1830 0 0 1 48
8 Brevard 202 2337 784 1553 0 0 0 56
8 Brevard 203 3172 1140 2032 0 0 2 70
8 Brevard 204 3681 1502 2179 0 0 1 79
8 Brevard 205 5988 1803 4185 0 0 0 93
8 Brevard 206 2206 717 1489 0 0 0 37
8 Brevard 207 1964 744 1220 0 0 0 45
8 Brevard 208 1765 690 1075 0 0 0 36
8 Brevard 209 2164 965 1199 0 0 1 49
8 Brevard 211 2762 1195 1567 0 0 0 49
8 Brevard 212 1365 753 612 0 0 0 17
8 Brevard 213 591 386 205 0 0 0 11
8 Brevard 214 1961 1033 928 0 0 0 49
8 Brevard 215 1153 413 740 0 0 0 23
8 Brevard 216 5310 2003 3307 0 0 0 113
8 Brevard 217 3077 955 2122 0 0 0 47
8 Brevard 218 509 187 322 0 0 0 8
8 Brevard 219 3593 1794 1799 0 0 0 59
8 Brevard 220 645 246 399 0 0 0 17
8 Brevard 221 2627 1035 1592 0 0 0 48
8 Brevard 222 2867 1230 1637 0 0 0 38
8 Brevard 223 605 237 368 0 0 0 20
8 Brevard 224 4272 1787 2485 0 0 0 65
8 Brevard 225 10 6 4 0 0 0 1
8 Brevard 226 2542 1082 1460 0 0 0 65
8 Brevard 227 164 76 88 0 0 0 2
8 Brevard 228 899 362 537 0 0 0 18
8 Brevard 229 429 125 304 0 0 0 5
8 Brevard 230 10 6 4 0 0 0 0
8 Brevard 231 780 540 240 0 0 0 13
8 Brevard 233 542 439 103 0 0 0 10
8 Brevard 234 245 95 150 0 0 0 2
8 Brevard 235 2104 674 1430 0 0 0 46
8 Brevard 236 547 205 342 0 0 0 7
8 Brevard 237 52 11 41 0 0 0 1
8 Brevard 238 40 11 29 0 0 0 0
8 Brevard 239 2 2 0 0 0 0 0
8 Brevard 240 1105 327 778 0 0 0 9
8 Brevard 300 1883 1182 701 0 0 0 58
8 Brevard 301 450 120 330 0 0 0 6
8 Brevard 302 3274 837 2437 0 0 0 41
8 Brevard 303 5225 2560 2665 0 0 2 118
8 Brevard 304 3898 1374 2524 0 0 0 96
8 Brevard 305 2393 956 1437 0 0 0 45
8 Brevard 306 1172 871 301 0 0 0 25
8 Brevard 307 1314 476 838 0 0 0 33
8 Brevard 308 2946 1226 1720 0 0 0 73
8 Brevard 309 9525 4132 5393 0 0 1 240
8 Brevard 310 2075 875 1200 0 0 1 52
8 Brevard 311 2292 898 1394 0 0 0 50
8 Brevard 312 1958 656 1302 0 0 2 58
8 Brevard 313 6915 3157 3758 0 0 0 161
8 Brevard 314 2901 1305 1596 0 0 0 89
8 Brevard 315 3504 1779 1725 0 0 0 95
8 Brevard 316 3121 1428 1693 0 0 1 76
8 Brevard 317 4673 2318 2355 0 0 1 154
8 Brevard 318 2932 1088 1844 0 0 0 69
8 Brevard 319 7 5 2 0 0 0 0
8 Brevard 320 89 29 60 0 0 0 0
8 Brevard 321 308 179 129 0 0 1 13
8 Brevard 322 4125 2045 2080 0 0 2 90
8 Brevard 323 282 139 143 0 0 0 15
8 Brevard 324 716 270 446 0 0 0 14
8 Brevard 325 359 112 247 0 0 0 4
8 Brevard 326 398 97 301 0 0 0 11
8 Brevard 327 456 138 318 0 0 1 9
8 Brevard 328 389 115 274 0 0 0 8
8 Brevard 400 3658 1654 2004 0 0 0 94
8 Brevard 402 3326 1276 2050 0 0 0 81
8 Brevard 403 1031 361 670 0 0 0 24
8 Brevard 404 4999 1789 3210 0 0 0 105
8 Brevard 405 4290 1626 2664 0 0 0 90
8 Brevard 406 5246 2014 3232 0 0 2 104
8 Brevard 407 375 115 260 0 0 0 8
8 Brevard 408 1146 484 662 0 0 0 31
8 Brevard 409 5240 1963 3277 0 0 1 99
8 Brevard 410 756 270 486 0 0 0 16
8 Brevard 411 921 390 531 0 0 0 24
8 Brevard 412 1000 388 612 0 0 0 12
8 Brevard 414 3698 1547 2151 0 0 0 93
8 Brevard 415 2791 1014 1777 0 0 0 66
8 Brevard 416 1721 541 1180 0 0 0 45
8 Brevard 417 4357 1692 2665 0 0 0 67
8 Brevard 418 2804 926 1878 0 0 0 53
8 Brevard 419 2115 705 1410 0 0 1 34
8 Brevard 420 2757 1012 1745 0 0 1 51
8 Brevard 421 3864 1335 2529 0 0 0 62
8 Brevard 422 5163 1818 3345 0 0 0 115
8 Brevard 424 3760 1467 2293 0 0 1 91
8 Brevard 425 621 229 392 0 0 0 9
8 Brevard 426 1601 430 1171 0 0 0 22
8 Brevard 427 3771 1301 2470 0 0 1 73
8 Brevard 428 4427 1722 2705 0 0 1 79
8 Brevard 429 2238 844 1394 0 0 0 50
8 Brevard 430 866 263 603 0 0 0 11
8 Brevard 431 1268 480 788 0 0 1 27
8 Brevard 432 149 46 103 0 0 0 1
8 Brevard 433 29 6 23 0 0 0 0
8 Brevard 434 6 1 5 0 0 0 0
8 Brevard 435 70 23 47 0 0 0 2
8 Brevard 436 0 0 0 0 0 0 0
8 Brevard 437 532 197 335 0 0 0 10
8 Brevard 438 0 0 0 0 0 0 0
8 Brevard 439 0 0 0 0 0 0 0
8 Brevard 440 43 16 27 0 0 0 0
8 Brevard 441 3068 1181 1887 0 0 1 64
8 Brevard 442 8 0 8 0 0 0 0
8 Brevard 443 0 0 0 0 0 0 0
8 Brevard 500 1292 540 752 0 0 1 36
8 Brevard 501 510 233 277 0 0 0 12
8 Brevard 502 2472 957 1515 0 0 1 70
8 Brevard 503 2734 1054 1680 0 0 0 62
8 Brevard 504 692 246 446 0 0 0 12
8 Brevard 505 3118 1113 2005 0 0 0 77
8 Brevard 506 2204 875 1329 0 0 0 58
8 Brevard 507 3704 1445 2259 0 0 0 115
8 Brevard 508 1765 632 1133 0 0 0 29
