DIST COUNTY AREA TOTAL DEM REP CON IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Con Ind Other
3 Calumet "Village Of Harrison Wards 3-4,17-18" 0 839 1144 0 0 2
3 Calumet "Village Of Harrison Wards 5-6,10" 0 545 854 0 0 1
3 Calumet "Village Of Harrison Wards 7-9,14-16" 0 689 1350 0 0 0
3 Calumet "Village Of Hilbert Ward 3" 0 0 0 0 0 0
3 Calumet "Village Of Sherwood Wards 1-5" 0 792 1369 0 0 0
3 Calumet "Village Of Stockbridge Ward 1" 0 117 310 0 0 0
3 Outagamie "City Of Appleton Ward 59" 0 2 1 0 0 0
3 Outagamie "City Of Kaukauna Wards 12,14" 0 0 1 0 0 0
3 Outagamie "City Of Kaukauna Wards 13,15" 0 0 4 0 0 0
3 Outagamie "Town Of Buchanan Wards 1-10" 0 1741 2566 0 0 0
3 Outagamie "Village Of Combined Locks Wards 1-6" 0 929 1320 0 0 0
3 Outagamie "Village Of Harrison Wards 1-2" 0 0 0 0 0 0
3 Outagamie "Village Of Kimberly Wards 1-9" 0 1876 2285 0 0 0
3 Outagamie "Village Of Little Chute Ward 7" 0 421 610 0 0 0
3 Outagamie "Village Of Little Chute Wards 3,9-11" 0 906 1227 0 0 0
4 Brown "City Of De Pere Wards 16-17" 0 1 3 0 0 0
4 Brown "City Of Green Bay Ward 34" 0 590 607 0 0 0
4 Brown "City Of Green Bay Ward 35" 0 388 431 0 0 0
4 Brown "City Of Green Bay Ward 41" 0 241 241 0 0 0
4 Brown "City Of Green Bay Ward 43" 0 609 571 0 0 1
4 Brown "City Of Green Bay Ward 44" 0 769 834 0 0 0
4 Brown "City Of Green Bay Ward 45" 0 772 1059 0 0 0
4 Brown "City Of Green Bay Ward 46" 0 763 654 0 0 2
4 Brown "City Of Green Bay Ward 47" 0 781 873 0 0 0
4 Brown "Village Of Allouez Wards 1-2" 0 1152 899 0 0 0
4 Brown "Village Of Allouez Wards 3-4" 0 975 899 0 0 2
4 Brown "Village Of Allouez Wards 5-6" 0 1121 1240 0 0 1
4 Brown "Village Of Allouez Wards 7-9" 0 976 925 0 0 0
4 Brown "Village Of Ashwaubenon Wards 1-2" 0 688 737 0 0 0
4 Brown "Village Of Ashwaubenon Wards 11-12" 0 852 949 0 0 0
4 Brown "Village Of Ashwaubenon Wards 3-4" 0 599 713 0 0 1
4 Brown "Village Of Ashwaubenon Wards 5-6" 0 678 841 0 0 4
4 Brown "Village Of Ashwaubenon Wards 7-8" 0 782 1092 0 0 0
4 Brown "Village Of Ashwaubenon Wards 9-10" 0 849 1192 0 0 0
4 Brown "Village Of Howard Ward 5" 0 168 262 0 0 0
4 Brown "Village Of Howard Ward 8" 0 476 691 0 0 1
4 Brown "Village Of Howard Wards 2,9-11,18" 0 1574 2098 0 0 3
5 Brown "Village Of Hobart Wards 1-8" 0 0 4184 0 0 127
5 Brown "Village Of Howard Ward 7" 0 0 626 0 0 22
5 Brown "Village Of Howard Wards 15-16" 0 0 1495 0 0 25
5 Outagamie "City Of Appleton Ward 58" 0 0 0 0 0 0
5 Outagamie "City Of Kaukauna Wards 1-5" 0 0 3047 0 0 0
5 Outagamie "City Of Kaukauna Wards 6-10" 0 0 3292 0 0 0
5 Outagamie "City Of Seymour Wards 1-6" 0 0 1471 0 0 0
5 Outagamie "Town Of Black Creek Wards 1-2" 0 0 631 0 0 0
5 Outagamie "Town Of Center Wards 1-7" 0 0 2011 0 0 0
5 Outagamie "Town Of Cicero Wards 1-2" 0 0 509 0 1 0
5 Outagamie "Town Of Ellington Wards 1-5" 0 0 1621 0 0 0
5 Outagamie "Town Of Freedom Wards 1-8" 0 0 3132 0 1 0
5 Outagamie "Town Of Kaukauna Wards 1-3" 0 0 741 0 0 0
5 Outagamie "Town Of Oneida Wards 1-6" 0 0 1524 0 1 0
5 Outagamie "Town Of Osborn Wards 1-2" 0 0 651 0 0 0
5 Outagamie "Town Of Seymour Wards 1-2" 0 0 624 0 0 0
5 Outagamie "Town Of Vandenbroek Wards 1-3" 0 0 851 0 1 0
5 Outagamie "Village Of Black Creek Wards 1-2" 0 0 575 0 0 0
5 Outagamie "Village Of Howard Ward 17" 0 0 0 0 0 0
5 Outagamie "Village Of Little Chute Wards 1,4-5,14" 0 0 1362 0 0 0
5 Outagamie "Village Of Little Chute Wards 2,6,8,12-13" 0 0 940 0 0 0
5 Outagamie "Village Of Nichols Ward 1" 0 0 114 0 0 0
5 Outagamie "Village Of Wrightstown Ward 5" 0 0 0 0 0 0
