COUNTY AREA TOTAL DEM REP LIB GRN WI1 WI2 WI3 WI4 WI5 WI6
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Boddie Carroll Hoefling Hunter Simmons Wells
Allen "PERRY B" 440 130 302 3 0 0 0 0 0 0 0
Allen BEAVERDAM 144 19 121 2 2 0 0 0 0 0 0
Allen "RICHLAND A" 557 106 433 14 3 0 0 0 0 0 0
Allen "RICHLAND B" 575 129 434 3 1 0 0 0 0 0 0
Allen "BLUFFTON A" 731 299 414 9 3 0 0 0 0 0 0
Allen "BLUFFTON B" 617 266 339 8 0 0 0 0 0 0 0
Allen "BLUFFTON C" 628 211 399 9 4 0 0 0 0 0 0
Allen "SHAWNEE A" 579 145 422 5 1 0 0 0 0 0 0
Allen "SHAWNEE B" 582 163 410 7 1 0 0 0 0 0 0
Allen "SHAWNEE C" 486 121 343 17 0 0 0 0 0 0 0
Allen "SHAWNEE D" 663 189 464 4 3 0 0 0 0 0 0
Allen "SHAWNEE E" 538 167 363 3 1 0 0 0 0 0 0
Allen "SHAWNEE F" 690 210 466 8 0 0 0 0 0 0 0
Allen "SHAWNEE G" 691 192 487 10 1 0 0 0 0 0 0
Allen "SHAWNEE H" 595 149 430 10 1 0 0 0 0 0 0
Allen "SHAWNEE I" 607 139 458 6 1 0 0 0 0 0 0
Allen "SHAWNEE J" 720 189 518 7 1 0 0 0 0 0 0
Allen "SHAWNEE K" 635 151 470 10 0 0 0 0 0 0 0
Allen "SHAWNEE L" 606 115 485 4 2 0 0 0 0 0 0
Allen "SPENCER A" 483 65 409 7 1 0 0 0 0 0 0
Allen "SPENCERVILLE A" 506 89 399 14 2 0 0 0 0 0 0
Allen "SPENCERVILLE B" 441 72 355 9 0 0 0 0 0 0 0
Allen "SUGAR CREEK" 695 109 574 8 2 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-A" 742 255 458 7 4 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-B" 814 299 470 13 4 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-C" 828 242 563 12 5 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-D" 593 163 403 8 2 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-A" 695 177 493 17 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-B" 789 253 505 13 6 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-C" 753 233 494 10 2 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-A" 540 213 308 12 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-B" 729 273 426 13 3 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-C" 735 240 470 6 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-D" 389 112 260 11 2 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-A" 551 130 413 0 5 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-B" 356 119 224 6 3 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-C" 578 131 436 4 0 0 0 0 0 0 0
Ashland "CLEAR CREEK" 1012 170 807 16 5 0 0 0 0 0 0
Ashland "GREEN 1" 861 201 636 9 2 0 0 0 0 0 0
Ashland "GREEN 2" 495 111 367 7 3 0 0 0 0 0 0
Ashland "LOUDONVILLE 2" 886 229 626 14 7 0 0 0 0 0 0
Ashland "LOUDONVILLE 1" 1039 303 703 21 0 0 0 0 0 0 0
Ashland "JACKSON 1" 796 242 535 9 2 0 0 0 0 0 0
Ashland "JACKSON 2" 1009 206 768 10 6 0 0 0 0 0 0
Ashland LAKE 354 73 268 4 4 0 0 0 0 0 0
Ashland "MILTON 1" 884 177 687 10 3 0 0 0 0 0 0
Ashland "MILTON 3" 414 76 331 3 0 0 0 0 0 0 0
Ashland JEROMESVILLE 241 65 167 2 2 0 0 0 0 0 0
Ashland MOHICAN 882 165 689 12 5 0 0 0 0 0 0
Ashland "MONTGOMERY 1" 512 112 389 3 2 0 0 0 0 0 0
Ashland "MONTGOMERY 2" 680 135 525 10 2 0 0 0 0 0 0
Ashland "MONTGOMERY 3" 488 94 389 1 3 0 0 0 0 0 0
Ashland "ORANGE 1" 838 164 647 12 7 0 0 0 0 0 0
Ashland "ORANGE 2" 508 106 390 8 1 0 0 0 0 0 0
Ashland PERRY 1019 153 837 13 1 0 0 0 0 0 0
Ashland RUGGLES 523 89 417 9 2 0 0 0 0 0 0
Ashland "SULLIVAN 1" 699 136 546 5 3 0 0 0 0 0 0
Ashland "SULLIVAN 2" 594 127 458 4 2 0 0 0 0 0 0
Ashland TROY 624 98 506 6 4 0 0 0 0 0 0
Ashland "VERMILLION 1" 676 140 520 7 0 0 0 0 0 0 0
Ashland "VERMILLION 2" 894 180 693 6 3 0 0 0 0 0 0
Ashland MIFFLIN 751 149 583 12 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-A" 625 328 283 4 1 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-B" 487 260 209 8 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-C" 466 246 204 7 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-D" 338 200 130 4 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-A" 521 293 208 11 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-B" 480 257 209 8 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-C" 257 144 110 1 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-D" 217 107 100 5 4 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-A" 111 55 51 2 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-B" 192 101 84 1 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-C" 213 108 99 3 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-D" 214 141 56 4 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-A" 195 102 85 2 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-B" 218 112 86 9 3 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-C" 266 128 118 6 4 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-D" 518 230 271 9 3 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-A" 165 84 77 1 1 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-B" 177 95 74 4 2 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-C" 447 219 216 9 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-D" 250 127 113 4 2 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-A" 264 117 143 1 2 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-B" 274 71 193 3 1 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-C" 447 196 239 6 2 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-A" 444 194 231 5 7 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-B" 613 286 307 11 6 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-C" 492 173 310 5 1 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-A" 270 125 138 4 3 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-B" 394 179 212 1 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-C" 332 173 153 3 1 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-D" 345 154 177 8 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-A" 244 99 138 1 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-B" 445 240 197 5 2 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-C" 195 71 113 4 6 0 0 0 0 0 0
Ashtabula "GENEVA 1" 374 184 179 5 1 0 0 0 0 0 0
Ashtabula "GENEVA 2" 633 260 355 11 4 0 0 0 0 0 0
Ashtabula "GENEVA 3" 335 143 182 5 2 0 0 0 0 0 0
Ashtabula "GENEVA 4" 296 92 196 5 1 0 0 0 0 0 0
Ashtabula "GENEVA 5" 259 109 138 6 3 0 0 0 0 0 0
Ashtabula "GENEVA 6" 397 153 226 9 1 0 0 0 0 0 0
Ashtabula "GENEVA 7" 411 195 207 3 3 0 0 0 0 0 0
Ashtabula "ANDOVER TWP. 1" 505 158 334 4 3 0 0 0 0 0 0
Ashtabula "ANDOVER TWP. 2" 366 97 260 4 1 0 0 0 0 0 0
Ashtabula "ANDOVER VILLAGE" 406 123 270 3 2 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 1" 387 164 214 5 1 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 2" 617 246 351 12 2 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 3" 245 92 147 1 3 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 4" 563 275 279 6 1 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 5" 390 166 208 6 1 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 6" 366 133 223 4 2 0 0 0 0 0 0
Ashtabula "AUSTINBURG TWP. 1" 730 219 501 5 2 0 0 0 0 0 0
Ashtabula "AUSTINBURG TWP. 2" 625 231 381 5 2 0 0 0 0 0 0
Ashtabula "CHERRY VALLEY" 391 80 305 3 0 0 0 0 0 0 0
Ashtabula "COLEBROOK TWP." 421 102 307 2 2 0 0 0 0 0 0
Ashtabula "DENMARK TWP." 386 101 277 5 0 0 0 0 0 0 0
Ashtabula "DORSET TWP." 381 96 268 9 4 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 1" 766 260 485 16 0 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 2" 408 118 285 3 0 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 3" 295 91 195 5 0 0 0 0 0 0 0
Ashtabula "GEN ON LAKE VILL" 477 183 282 6 0 0 0 0 0 0 0
Ashtabula "HARPERSFLD TWP 1" 481 148 322 4 1 0 0 0 0 0 0
Ashtabula "HARPERSFLD TWP 2" 641 206 421 5 4 0 0 0 0 0 0
Ashtabula "HARPERSFLD TWP 3" 487 175 298 7 2 0 0 0 0 0 0
Ashtabula "HARTSGROVE TWP" 724 171 540 7 0 0 0 0 0 0 0
Ashtabula "JEFFERSON TWP. 1" 395 112 274 2 1 0 0 0 0 0 0
