COUNTY AREA TOTAL DEM REP Others
COUNTY AREA TOTAL Bellows Collins Others
CUM "CAPE ELIZABETH" 0 2194 3307 0
CUM CASCO 0 456 1217 0
CUM "CHEBEAGUE ISLAND" 0 129 132 0
CUM CUMBERLAND 0 1325 3201 0
CUM FALMOUTH 0 2146 4462 0
CUM FREEPORT 0 1831 2797 1
CUM "FRYE ISLAND" 0 10 36 0
CUM GORHAM 0 2114 5367 1
CUM GRAY 0 961 2960 4
CUM HARPSWELL 0 1062 1957 0
CUM HARRISON 0 341 907 2
CUM "LONG ISLAND" 0 58 112 0
CUM NAPLES 0 483 1340 0
CUM "NEW GLOUCESTER" 1 722 2076 2
CUM "NORTH YARMOUTH" 0 655 1496 0
CUM PORTLAND 3 16305 13273 6
CUM POWNAL 0 297 639 0
CUM RAYMOND 0 672 1650 0
CUM SCARBOROUGH 0 2950 7365 4
CUM SEBAGO 0 249 655 0
CUM "SOUTH PORTLAND" 0 5404 6835 2
CUM STANDISH 1 1094 3242 2
CUM WESTBROOK 0 2657 4922 5
CUM WINDHAM 0 2080 5598 1
CUM YARMOUTH 0 1668 2993 0
FRA AVON 0 59 159 0
FRA "CARRABASSETT VALLEY" 0 110 292 0
FRA CARTHAGE 0 59 164 0
FRA CHESTERVILLE 0 184 425 0
FRA "COPLIN PLT" 0 21 64 0
FRA "DALLAS PLT" 0 56 138 0
FRA EUSTIS 0 84 242 0
FRA FARMINGTON 6 1009 2091 12
FRA "FREEMAN TWP/SALEM TWP" 0 18 74 0
FRA INDUSTRY 0 124 282 0
FRA JAY 0 786 1438 0
FRA KINGFIELD 0 190 517 0
FRA "NEW SHARON" 0 224 550 0
FRA "NEW VINEYARD" 0 95 283 0
FRA "PERKINS TWP/WASHINGTON TWP" 0 14 15 0
FRA PHILLIPS 0 162 360 0
FRA RANGELEY 0 133 467 0
FRA "RANGELEY PLT" 0 38 104 0
FRA "SANDY RIVER PLT" 0 29 47 0
FRA STRONG 0 122 445 0
FRA TEMPLE 0 96 182 0
FRA WELD 0 67 192 0
FRA WILTON 0 523 1292 3
FRA "WYMAN TWP" 0 12 24 0
HAN AMHERST 0 37 95 0
HAN AURORA 0 9 46 0
HAN "BAR HARBOR" 0 1293 1267 0
HAN "BLUE HILL" 0 630 821 0
HAN BROOKLIN 0 248 258 0
HAN BROOKSVILLE 0 274 285 0
HAN BUCKSPORT 0 547 1466 0
HAN CASTINE 0 166 277 0
HAN "CRANBERRY ISLES" 0 58 72 0
HAN DEDHAM 0 238 638 0
HAN "DEER ISLE" 0 382 522 1
HAN EASTBROOK 0 51 145 0
HAN ELLSWORTH 0 1093 2344 0
HAN FRANKLIN 0 182 414 0
HAN FRENCHBORO 0 9 11 0
HAN GOULDSBORO 3 263 578 3
HAN "GREAT POND" 0 13 23 0
HAN HANCOCK 0 378 689 0
HAN LAMOINE 0 292 636 0
HAN MARIAVILLE 0 58 157 0
HAN "MOUNT DESERT" 0 541 642 0
HAN ORLAND 0 350 726 1
HAN OSBORN 0 9 31 0
HAN OTIS 0 89 252 1
HAN PENOBSCOT 1 256 404 1
HAN SEDGWICK 0 254 331 1
HAN SORRENTO 0 72 116 0
HAN "SOUTHWEST HARBOR" 0 355 494 0
HAN STONINGTON 0 190 277 0
HAN SULLIVAN 0 207 319 0
HAN SURRY 0 341 494 0
HAN "SWANS ISLAND" 0 45 147 0
HAN "T3 ND" NA 1 6 0
HAN "T10 SD" 0 4 8 0
HAN "T22 MD" 0 0 4 0
HAN "T7 SD" 0 1 2 0
HAN TREMONT 0 300 448 0
HAN TRENTON 0 199 491 0
HAN "VERONA ISLAND" 0 83 176 0
HAN WALTHAM 0 36 127 0
HAN "WINTER HARBOR" 0 64 172 0
KEN ALBION 0 177 756 0
KEN AUGUSTA 0 2594 5062 0
KEN BELGRADE 0 419 1247 0
KEN BENTON 0 334 935 0
KEN CHELSEA 0 292 912 1
KEN CHINA 0 560 1487 0
KEN CLINTON 0 390 1017 0
KEN FARMINGDALE 0 435 980 0
KEN FAYETTE 2 217 448 2
KEN GARDINER 0 870 1809 1
KEN HALLOWELL 0 707 700 4
KEN LITCHFIELD 0 426 1255 1
KEN MANCHESTER 0 424 1002 0
KEN MONMOUTH 0 559 1440 2
KEN "MOUNT VERNON" 2 285 590 2
KEN OAKLAND 0 797 2010 0
KEN PITTSTON 0 356 1083 0
KEN RANDOLPH 0 242 586 0
KEN READFIELD 0 494 940 0
KEN ROME 0 170 358 0
KEN SIDNEY 0 535 1647 0
KEN VASSALBORO 0 575 1482 0
KEN VIENNA 0 126 218 0
KEN WATERVILLE 0 2281 3283 0
KEN WAYNE 0 250 447 0
KEN "WEST GARDINER" 0 483 1423 0
KEN WINDSOR 0 262 874 0
KEN WINSLOW 0 1043 2636 0
KEN WINTHROP 0 976 2121 0
KNO APPLETON 0 257 479 0
KNO CAMDEN 0 1381 1425 0
KNO CUSHING 0 195 462 0
KNO FRIENDSHIP 0 168 445 0
KNO HOPE 0 282 537 0
KNO "ISLE AU HAUT" 0 27 28 0
KNO "MATINICUS ISLE PLT" 0 16 20 0
KNO "NORTH HAVEN" 0 115 126 0
KNO "OWL'S HEAD" 0 262 556 0
KNO ROCKLAND 0 1152 1486 0
KNO ROCKPORT 0 718 1148 0
KNO "SAINT GEORGE" 32 561 829 36
KNO "SOUTH THOMASTON" 0 239 485 0
KNO THOMASTON 0 404 754 0
KNO UNION 0 343 836 0
KNO VINALHAVEN 0 264 331 0
KNO WARREN 0 390 1190 0
KNO WASHINGTON 0 232 485 1
LIN ALNA 0 145 268 0
LIN BOOTHBAY 0 514 1258 0
LIN "BOOTHBAY HARBOR" 0 342 792 0
LIN BREMEN 0 155 284 0
LIN BRISTOL 2 515 1044 4
LIN DAMARISCOTTA 0 439 694 2
LIN DRESDEN 0 282 637 1
LIN EDGECOMB 0 239 433 0
LIN JEFFERSON 0 332 981 1
LIN "MONHEGAN ISLAND PLT" 0 28 18 0
LIN NEWCASTLE 0 430 594 0
LIN NOBLEBORO 1 268 660 2
LIN SOMERVILLE 0 74 172 0
LIN "SOUTH BRISTOL" 0 185 353 0
LIN SOUTHPORT 0 97 288 0
LIN WALDOBORO 0 672 1480 2
LIN "WESTPORT ISLAND" 0 141 289 0
LIN WHITEFIELD 0 363 750 1
LIN WISCASSET 2 425 1326 3
OXF "ADAMSTOWN TWP/LOWER CUPSUPTIC TWP" 0 3 0 0
OXF "ALBANY TWP" 0 82 157 0
OXF ANDOVER 0 120 326 0
OXF BETHEL 0 434 926 0
OXF BROWNFIELD 0 206 462 0
OXF BUCKFIELD 0 227 667 0
OXF BYRON 0 21 61 0
OXF CANTON 0 121 316 0
OXF DENMARK 0 157 428 0
OXF DIXFIELD 0 317 806 0
OXF FRYEBURG 0 400 923 0
OXF GILEAD 0 25 60 0
OXF GREENWOOD 0 117 261 0
OXF HANOVER 0 42 111 0
OXF HARTFORD 0 165 392 1
OXF HEBRON 0 138 509 0
OXF HIRAM 0 195 485 0
OXF "LINCOLN PLT" 0 5 22 0
OXF LOVELL 1 184 402 1
OXF "MAGALLOWAY PLT" 0 1 16 0
OXF MEXICO 0 368 733 0
OXF "MILTON TWP" 0 19 51 0
OXF NEWRY 0 66 170 0
OXF NORWAY 4 644 1499 5
OXF OTISFIELD 0 257 644 1
OXF OXFORD 0 408 1364 0
OXF PARIS 0 630 1592 1
OXF PERU 2 207 611 2
OXF PORTER 0 192 491 0
OXF ROXBURY 0 67 156 0
OXF RUMFORD 0 762 1562 0
OXF STONEHAM 0 43 104 0
OXF STOW 0 64 112 0
OXF SUMNER 0 139 332 0
OXF SWEDEN 0 74 130 0
OXF UPTON 0 10 44 0
OXF WATERFORD 0 217 577 1
OXF "WEST PARIS" 0 213 563 0
OXF WOODSTOCK 0 171 480 0
PEN ALTON 1 89 281 1
PEN "ARGYLE TWP" 0 19 56 0
PEN BANGOR 3 3951 7758 7
PEN BRADFORD 0 117 420 0
PEN BRADLEY 0 174 486 0
PEN BREWER 0 1014 3116 0
PEN BURLINGTON 0 33 113 0
PEN CARMEL 0 266 978 0
PEN "CARROLL PLT" 0 16 53 0
PEN CHARLESTON 0 92 459 0
PEN CHESTER 0 39 207 0
PEN CLIFTON 0 108 285 0
PEN CORINNA 0 171 767 0
PEN CORINTH 0 214 983 0
PEN DEXTER 0 304 1133 1
PEN DIXMONT 0 171 419 0
PEN "DREW PLT" 0 4 16 0
PEN "EAST MILLINOCKET" 0 254 597 0
PEN EDDINGTON 0 206 892 3
PEN EDINBURG 0 16 51 0
PEN ENFIELD 0 143 506 0
PEN ETNA 0 135 388 0
PEN EXETER 0 105 345 0
PEN GARLAND 1 132 310 2
PEN GLENBURN 0 424 1604 1
PEN "GRAND FALLS TWP" 0 5 3 0
PEN GREENBUSH 0 128 413 0
PEN "GREENFIELD TWP" 0 25 88 0
PEN "GRINDSTONE TWP/HERSEYTOWN TWP/SOLDIERTOWN TWP T2 R7 WELS" 0 8 17 0
PEN HAMPDEN 0 843 2483 0
PEN HERMON 0 482 2165 0
PEN "HERSEYTOWN TWP" 0 0 10 0
PEN HOLDEN 0 358 1321 0
PEN HOWLAND 0 131 423 0
PEN HUDSON 0 116 472 0
PEN KENDUSKEAG 0 96 419 0
PEN "KINGMAN TWP" 0 15 45 2
PEN LAGRANGE 0 74 213 0
PEN LAKEVILLE 0 17 44 0
PEN LEE 0 69 346 2
PEN LEVANT 0 189 969 0
PEN LINCOLN 0 387 1626 1
PEN LOWELL 0 40 143 0
PEN "MATTAMISCONTIS TWP" 0 4 34 0
PEN MATTAWAMKEAG 0 103 198 0
PEN MAXFIELD 0 10 38 0
PEN MEDWAY 0 138 495 0
PEN MILFORD 0 368 917 0
PEN MILLINOCKET 0 577 1448 3
PEN "MOUNT CHASE" 0 14 84 0
PEN NEWBURGH 0 200 558 0
PEN NEWPORT 0 318 1033 0
PEN "OLD TOWN" 0 970 2127 2
PEN ORONO 0 1368 2077 1
PEN ORRINGTON 0 428 1434 0
