COUNTY AREA TOTAL DEM REP CON WRI
COUNTY AREA TOTAL Harrison Graham Bledsoe Writein
Anderson "Edgewood Station A" 1503 587 894 21 1
Anderson "Five Forks" 1272 333 928 10 1
Anderson "Flat Rock" 1003 204 782 16 1
Anderson "Fork No 1" 1125 224 891 9 1
Anderson "Fork No 2" 1265 256 981 26 2
Anderson Friendship 740 119 614 7 0
Anderson "Gluck Mill" 839 327 499 12 1
Anderson "Green Pond Station A" 1851 434 1392 24 1
Anderson Hall 983 214 745 23 1
Anderson "Hammond School" 1971 576 1371 24 0
Anderson "High Point" 449 50 390 9 0
Anderson "Homeland Park" 362 64 285 13 0
Anderson "Honea Path" 1033 224 797 12 0
Anderson Hopewell 1381 357 1004 17 3
Anderson Iva 1108 191 898 19 0
Anderson "Jackson Mill" 993 141 838 13 1
Anderson "La France" 741 218 508 14 1
Anderson Melton 520 125 391 3 1
Anderson "Mount Tabor" 1899 545 1340 14 0
Anderson "Mountain Creek" 559 168 381 9 1
Anderson "Neal's Creek" 1432 509 897 25 1
Anderson "North Pointe" 1624 422 1188 12 2
Anderson Pelzer 537 92 430 14 1
Anderson Pendleton 2179 1073 1085 16 5
Anderson Piedmont 659 167 476 16 0
Anderson Piercetown 1785 400 1361 20 4
Anderson "Rock Mill" 993 202 780 10 1
Anderson "Rock Spring" 621 157 454 10 0
Anderson "Shirley's Store" 619 111 499 8 1
Anderson Simpsonville 2055 498 1515 40 2
Anderson Starr 661 74 574 13 0
Anderson "Three and Twenty" 1925 349 1538 38 0
Anderson "Toney Creek" 550 90 452 8 0
Anderson Townville 610 123 479 8 0
Anderson "Town Creek" 1442 357 1071 14 0
Anderson "West Pelzer" 1363 240 1098 25 0
Anderson "West Savannah" 430 119 303 7 1
Anderson "White Plains" 2417 475 1902 38 2
Anderson Williamston 1700 448 1239 13 0
Anderson "Williamston Mill" 1900 334 1531 33 2
Anderson "Wright's School" 620 59 552 9 0
Anderson "Anderson 1/1" 1058 426 620 12 0
Anderson "Anderson 1/2" 1054 293 750 10 1
Anderson "Anderson 2/1" 1029 335 679 14 1
Anderson "Anderson 2/2" 1808 699 1076 31 2
Anderson "Anderson 3/1" 515 307 197 10 1
Anderson "Anderson 3/2" 673 372 294 6 1
Anderson "Anderson 4/1" 676 563 107 4 2
Anderson "Anderson 4/2" 1355 1015 326 12 2
Anderson "Anderson 5/B" 749 606 132 9 2
Anderson "Anderson 6/1" 1326 523 774 24 5
Anderson "Anderson 6/2" 660 464 189 7 0
Anderson Varennes 702 331 353 18 0
Anderson Lakeside 1751 668 1060 19 4
Anderson "Centerville Station B" 2044 663 1354 27 0
Anderson "Edgewood Station B" 1622 427 1175 19 1
Anderson "Cox's Creek" 876 283 586 7 0
Anderson "Mt Airy" 1915 387 1504 20 4
Anderson "Belton Annex" 1316 360 931 22 3
Anderson Powdersville 2471 660 1772 33 6
Anderson Glenview 1545 533 1005 7 0
Anderson "Hammond Annex" 1487 414 1064 8 1
Anderson "Center Rock" 1907 481 1396 27 3
Anderson "Hunt Meadows" 3466 780 2631 49 6
Anderson "South Fant" 656 463 184 7 2
Anderson Failsafe 107 35 70 2 0
Anderson Provisional 143 48 94 1 0
Anderson "Failsafe Provisional" 229 69 154 6 0
Bamberg COLSTON 145 49 91 5 0
Bamberg EDISTO 241 80 158 3 0
Bamberg EHRHARDT 516 220 294 2 0
Bamberg "EAST DENMARK" 1227 983 239 5 0
Bamberg GOVAN 111 72 37 2 0
Bamberg "HIGHTOWERS MILL" 64 31 33 0 0
Bamberg "HUNTER'S CHAPEL" 158 76 80 1 1
Bamberg KEARSE 90 9 81 0 0
Bamberg "LITTLE SWAMP" 102 11 89 2 0
Bamberg OLAR 231 93 137 1 0
Bamberg "SOUTH BAMBERG" 1425 1072 344 9 0
Bamberg "WEST DENMARK" 812 675 132 4 1
Bamberg "NORTH BAMBERG" 1347 683 654 10 0
Bamberg Failsafe 0 0 0 0 0
Bamberg Provisional 0 0 0 0 0
Bamberg "Failsafe Provisional" 10 6 4 0 0
Barnwell "BARNWELL 1" 484 260 216 7 1
Barnwell "BARNWELL 2" 1109 419 665 23 2
Barnwell "BARNWELL 3" 1235 492 725 16 2
Barnwell "BARNWELL 4" 974 586 381 7 0
Barnwell "BLACKVILLE 1" 647 435 209 3 0
Barnwell "BLACKVILLE 2" 399 270 123 5 1
Barnwell ELKO 437 191 243 3 0
Barnwell FRIENDSHIP 494 38 447 9 0
Barnwell KLINE 410 175 230 5 0
Barnwell "HEALING SPRINGS" 623 462 152 9 0
Barnwell HILDA 646 78 560 7 1
Barnwell SNELLING 874 401 459 14 0
Barnwell "WILLISTON 1" 941 597 333 10 1
Barnwell "WILLISTON 2" 424 136 280 8 0
Barnwell "WILLISTON 3" 598 251 345 2 0
Barnwell Failsafe 18 12 6 0 0
Barnwell Provisional 7 3 4 0 0
Barnwell "Failsafe Provisional" 0 0 0 0 0
Beaufort "BEAUFORT 1" 729 525 194 9 1
Beaufort "BEAUFORT 2" 822 427 388 7 0
Beaufort "BEAUFORT 3" 1040 481 544 14 1
Beaufort "BURTON 1A" 1399 643 742 13 1
Beaufort "BURTON 1B" 824 675 141 7 1
Beaufort "BURTON 1C" 1385 798 577 10 0
Beaufort "BURTON 2A" 1186 516 645 24 1
Beaufort "BURTON 2B" 1294 599 671 22 2
Beaufort "BURTON 2C" 1524 561 942 21 0
Beaufort "BURTON 3" 352 221 127 4 0
Beaufort "CHECHESSEE 1" 1425 493 926 6 0
Beaufort "CHECHESSEE 2" 1415 543 854 14 4
Beaufort "Ladys Island 1A" 1135 536 582 16 1
Beaufort "Ladys Island 1B" 1279 600 670 9 0
Beaufort "Ladys Island 2A" 1185 386 778 18 3
Beaufort "Ladys Island 2B" 1017 385 631 1 0
Beaufort "Ladys Island 3A" 811 318 485 7 1
Beaufort "Ladys Island 3B" 981 334 640 5 2
Beaufort "Mossy Oaks 1A" 669 257 394 15 3
Beaufort "Mossy Oaks 1B" 848 332 497 17 2
Beaufort "Mossy Oaks 2" 790 362 415 13 0
Beaufort "PORT ROYAL 1" 825 413 403 9 0
Beaufort "PORT ROYAL 2" 786 448 324 13 1
Beaufort "DALE LOBECO" 839 586 250 3 0
Beaufort "SEABROOK 1" 712 402 301 9 0
Beaufort "SEABROOK 2" 656 455 195 5 1
Beaufort "SEABROOK 3" 905 519 370 15 1
Beaufort "SHELDON 1" 802 437 359 5 1
Beaufort "SHELDON 2" 538 474 61 3 0
Beaufort "BURTON 1D" 402 203 183 15 1
Beaufort "Saint Helena 1A" 925 757 159 9 0
Beaufort "Saint Helena 1B" 1014 765 245 4 0
Beaufort "Saint Helena 1C" 1212 478 732 2 0
Beaufort "Saint Helena 2A" 985 604 365 16 0
Beaufort "Saint Helena 2B" 917 687 225 4 1
Beaufort "Saint Helena 2C" 881 328 549 4 0
Beaufort "Ladys Island 2C" 712 260 446 6 0
Beaufort "Ladys Island 3C" 749 288 446 15 0
Beaufort DAUFUSKIE 338 122 215 1 0
Beaufort "HILTON HEAD 1A" 922 479 428 14 1
Beaufort "HILTON HEAD 1B" 937 494 438 4 1
Beaufort "HILTON HEAD 2A" 1064 527 529 7 1
Beaufort "HILTON HEAD 2B" 939 577 355 5 2
Beaufort "HILTON HEAD 2C" 1405 517 883 3 2
Beaufort "HILTON HEAD 3" 763 265 495 2 1
Beaufort "HILTON HEAD 4A" 724 299 420 4 1
Beaufort "HILTON HEAD 4B" 1065 434 626 1 4
Beaufort "HILTON HEAD 4C" 848 354 489 5 0
Beaufort "HILTON HEAD 4D" 894 414 477 3 0
Beaufort "HILTON HEAD 5A" 854 360 487 7 0
Beaufort "HILTON HEAD 5B" 803 322 480 1 0
Beaufort "HILTON HEAD 5C" 758 300 453 4 1
Beaufort "HILTON HEAD 6" 1139 428 706 5 0
Beaufort "HILTON HEAD 7A" 1029 417 606 6 0
Beaufort "HILTON HEAD 7B" 1161 452 699 8 2
Beaufort "HILTON HEAD 8" 674 294 378 2 0
Beaufort "HILTON HEAD 9A" 1205 556 642 7 0
Beaufort "HILTON HEAD 9B" 1135 317 816 2 0
Beaufort "HILTON HEAD 10" 1373 618 744 11 0
Beaufort "HILTON HEAD 11" 945 392 547 5 1
Beaufort "HILTON HEAD 12" 563 238 324 1 0
Beaufort "HILTON HEAD 13" 779 348 421 10 0
Beaufort "HILTON HEAD 14" 798 300 496 2 0
Beaufort "HILTON HEAD 15A" 450 192 258 0 0
Beaufort "HILTON HEAD 15B" 752 282 466 3 1
Beaufort BELFAIR 1656 562 1088 5 1
Beaufort "Bluffton 1A" 1259 617 631 10 1
Beaufort "Bluffton 1B" 742 281 453 7 1
Beaufort "Bluffton 1C" 1269 474 780 14 1
Beaufort "Bluffton 1D" 1079 564 496 19 0
Beaufort "Bluffton 2A" 796 390 388 18 0
Beaufort "Bluffton 2B" 1007 462 522 21 2
Beaufort "Bluffton 2C" 2160 851 1275 33 1
Beaufort "MOSS CREEK" 1314 525 785 4 0
Beaufort "Bluffton 3" 873 266 594 13 0
Beaufort "Bluffton 4A" 1002 280 716 5 1
Beaufort "Bluffton 4B" 1306 499 787 18 2
Beaufort "Bluffton 4C" 1803 646 1149 8 0
Beaufort "Bluffton 5A" 1443 542 888 13 0
Beaufort "Bluffton 2D" 1687 607 1051 29 0
Beaufort "Bluffton 2E" 1059 659 386 13 1
Beaufort "ROSE HILL" 1467 459 995 12 1
Beaufort "Bluffton 4D" 1646 563 1073 9 1
Beaufort "Bluffton 5B" 900 369 517 14 0
Beaufort "PALMETTO BLUFF" 580 182 398 0 0
Beaufort "New River" 1860 702 1146 12 0
Beaufort "SANDY POINTE" 846 419 413 14 0
Beaufort "SUN CITY 1" 1245 516 725 4 0
Beaufort "SUN CITY 2" 969 406 560 3 0
Beaufort "SUN CITY 3" 1402 579 815 8 0
Beaufort "SUN CITY 4" 1143 471 667 5 0
Beaufort "SUN CITY 5" 1282 513 765 4 0
Beaufort "SUN CITY 6" 1180 491 682 6 1
Beaufort "SUN CITY 7" 968 412 551 5 0
Beaufort "SUN CITY 8" 1164 534 620 10 0
Beaufort Failsafe 154 70 83 1 0
Beaufort Provisional 350 146 201 2 1
Beaufort "Failsafe Provisional" 79 38 41 0 0
Berkeley ALVIN 675 390 276 7 2
Berkeley BETHERA 191 15 170 6 0
Berkeley BONNEAU 943 340 589 13 1
Berkeley "BONNEAU BEACH" 1165 255 880 29 1
Berkeley CENTRAL 1747 856 852 38 1
Berkeley CAINHOY 945 670 271 4 0
Berkeley "CARNES CROSS ROADS 1" 958 166 766 25 1
Berkeley "CARNES CROSS ROADS 2" 815 277 524 14 0
Berkeley CORDESVILLE 905 344 540 21 0
Berkeley CROSS 802 362 430 10 0
Berkeley "DANIEL ISLAND 1" 1870 590 1272 7 1
Berkeley "DANIEL ISLAND 2" 1452 677 765 7 3
Berkeley "DEVON FOREST 1" 1477 687 752 37 1
Berkeley "DEVON FOREST 2" 1164 524 607 29 4
Berkeley EADYTOWN 473 331 136 6 0
Berkeley "HANAHAN 1" 1753 529 1191 33 0
Berkeley "HANAHAN 2" 945 389 534 22 0
Berkeley "HANAHAN 3" 991 314 656 21 0
Berkeley "HANAHAN 4" 878 426 425 26 1
Berkeley "HILTON CROSS RD" 1142 672 463 6 1
Berkeley HUGER 959 602 347 10 0
Berkeley JAMESTOWN 398 232 160 5 1
Berkeley LEBANON 623 145 466 11 1
Berkeley MACEDONIA 1116 145 946 23 2
Berkeley MCBETH 733 264 455 14 0
Berkeley "MONCKS CORNER 1" 1320 542 762 15 1
Berkeley "MONCKS CORNER 2" 1178 619 536 21 2
Berkeley "MONCKS CORNER 3" 1537 913 593 24 7
Berkeley "MONCKS CORNER 4" 1213 298 903 12 0
Berkeley PIMLICO 965 201 737 27 0
Berkeley PINOPOLIS 1469 279 1170 20 0
Berkeley RUSSELLVILLE 1013 853 149 11 0
