COUNTY AREA TOTAL DEM REP Johnson Stein Castle Fox Kotlikoff McMullin
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle Fox Kotlikoff McMullin
ARO "NEW SWEDEN" 377 147 185 24 8 0 0 0 2
ARO OAKFIELD 392 102 254 16 7 0 0 0 2
ARO ORIENT 89 13 69 1 1 0 0 0 0
ARO "OXBOW PLT" 38 10 25 1 1 0 0 0 0
ARO PERHAM 207 60 119 9 7 0 0 0 0
ARO "PORTAGE LAKE" 260 88 153 6 3 0 0 0 0
ARO "PRESQUE ISLE" 4425 1779 2102 281 78 0 0 0 27
ARO "REED PLT" 79 14 61 0 3 0 0 0 0
ARO "SAINT AGATHA" 586 258 279 28 6 0 0 0 1
ARO "SAINT FRANCIS" 246 127 96 10 3 0 0 0 1
ARO "SAINT JOHN PLT" 167 58 92 9 3 0 0 0 0
ARO SHERMAN 647 141 467 20 6 0 0 0 0
ARO SMYRNA 153 38 99 4 4 0 0 0 0
ARO STOCKHOLM 157 67 53 7 25 0 0 0 0
ARO "T11 R4 WELS TWP" 24 7 15 0 1 0 0 0 0
ARO "T12/R13 WELS/T9 R8 WELS" 3 2 1 0 0 0 0 0 0
ARO "T15 R6 TWP" 9 0 7 1 0 0 0 0 0
ARO "T17 R3 VAN BUREN COVE TWP" 24 8 12 2 0 0 0 0 0
ARO "T4 R3 TWP" 1 1 0 0 0 0 0 0 0
ARO "TD R2 WELS" 4 4 0 0 0 0 0 0 0
ARO "VAN BUREN" 964 501 391 27 11 0 0 0 2
ARO WADE 146 41 86 11 4 0 0 0 0
ARO WALLAGRASS 301 154 127 9 1 0 0 0 0
ARO WASHBURN 864 284 482 45 7 0 0 1 6
ARO WESTFIELD 258 85 146 13 1 1 0 0 0
ARO WESTMANLAND 49 24 24 0 1 0 0 0 0
ARO WESTON 185 55 121 1 3 0 0 0 0
ARO "WINTERVILLE PLT" 138 53 73 5 2 0 0 0 0
ARO WOODLAND 686 231 392 33 6 0 0 0 0
CUM BALDWIN 936 271 560 58 16 0 0 0 3
CUM BRIDGTON 3027 1224 1474 158 69 0 0 0 6
CUM BRUNSWICK 12892 7992 3647 579 236 0 0 0 25
CUM "CAPE ELIZABETH" 6598 4480 1593 229 70 0 0 0 7
CUM CASCO 2155 819 1117 104 46 0 0 0 10
CUM "CHEBEAGUE ISLAND" 329 232 66 17 11 0 0 0 0
CUM CUMBERLAND 5505 3184 1755 283 55 0 0 0 28
CUM FALMOUTH 8179 4877 2633 305 107 0 0 0 21
CUM FREEPORT 5615 3442 1644 265 86 0 0 0 10
CUM "FRYE ISLAND" 78 43 26 8 0 0 0 0 0
CUM GORHAM 9947 4995 3945 486 161 80 0 0 22
CUM GRAY 4931 2021 2397 269 81 2 0 0 12
CUM HARPSWELL 3483 1881 1316 128 51 0 0 0 10
CUM HARRISON 1497 568 760 80 38 2 0 0 4
CUM "LONG ISLAND" 176 109 52 7 2 0 0 0 2
CUM NAPLES 2333 826 1277 118 39 0 0 0 0
CUM "NEW GLOUCESTER" 3364 1350 1657 167 61 3 0 0 16
CUM "NORTH YARMOUTH" 2656 1493 922 118 35 0 0 0 4
CUM PORTLAND 38577 28534 6789 1226 987 2 0 0 58
CUM POWNAL 1088 556 421 60 16 1 0 0 0
CUM RAYMOND 2898 1263 1381 93 74 1 0 0 3
CUM SCARBOROUGH 12994 6893 4918 533 191 0 0 1 39
CUM SEBAGO 1132 421 600 64 20 2 0 0 4
CUM "SOUTH PORTLAND" 15105 9919 3950 526 291 4 0 1 17
CUM STANDISH 5555 2144 2873 280 80 0 0 0 15
CUM WESTBROOK 10020 5431 3573 493 200 5 0 0 6
CUM WINDHAM 10140 4308 4860 517 169 0 0 0 27
CUM YARMOUTH 5725 3705 1503 236 71 0 0 0 5
FRA AVON 248 76 146 15 4 0 0 0 0
FRA "CARRABASSETT VALLEY" 474 264 127 32 23 0 0 0 0
FRA CARTHAGE 292 90 139 20 33 0 0 0 1
FRA CHESTERVILLE 747 276 375 60 15 0 0 1 2
FRA "COPLIN PLT" 103 38 44 11 3 0 0 0 0
FRA "DALLAS PLT" 207 90 92 15 4 0 0 0 3
FRA EUSTIS 425 136 222 37 12 0 0 0 0
FRA FARMINGTON 3983 1979 1483 260 104 0 0 0 18
FRA INDUSTRY 470 189 234 28 8 0 0 0 0
FRA JAY 2600 1143 1184 142 28 0 0 0 5
FRA KINGFIELD 810 297 403 65 18 0 0 0 0
FRA "NEW SHARON" 942 310 498 69 31 0 0 0 3
FRA "NEW VINEYARD" 450 130 256 29 7 0 0 0 5
FRA "PERKINS TOWNSHIP" 13 8 4 1 0 0 0 0 0
FRA PHILLIPS 649 230 344 34 14 0 0 0 3
FRA RANGELEY 743 287 384 37 11 0 0 0 1
FRA "RANGELEY PLT" 162 51 97 5 3 0 0 0 0
FRA "SANDY RIVER PLT" 93 45 40 1 5 0 0 0 0
FRA STRONG 780 225 460 54 13 0 0 0 1
FRA TEMPLE 328 154 146 15 6 0 0 0 0
FRA "WASHINGTON TWP" 17 7 9 1 0 0 0 0 0
FRA WELD 288 109 148 17 1 0 0 0 0
FRA WILTON 2228 872 1066 155 30 0 0 0 32
FRA "WYMAN TWP" 33 10 17 0 3 0 0 0 0
HAN AMHERST 174 57 99 7 6 0 0 0 0
HAN AURORA 76 17 48 5 3 0 0 0 1
HAN "BAR HARBOR" 3217 2244 712 107 58 0 0 0 8
HAN "BLUE HILL" 1824 1088 560 82 44 1 0 0 1
HAN BROOKLIN 574 346 177 20 16 0 0 0 3
HAN BROOKSVILLE 657 406 190 15 21 0 0 0 0
HAN BUCKSPORT 2655 1035 1335 148 47 0 0 0 14
HAN CASTINE 600 329 205 37 8 0 0 0 2
HAN "CRANBERRY ISLES" 153 100 41 6 4 0 0 0 0
HAN DEDHAM 1100 450 542 57 20 0 0 0 6
HAN "DEER ISLE" 1230 684 453 43 21 0 0 0 0
HAN EASTBROOK 244 66 150 16 6 1 0 0 0
HAN ELLSWORTH 4401 1810 2113 242 90 3 0 0 14
HAN FRANKLIN 811 303 426 48 11 0 0 0 0
HAN FRENCHBORO 33 7 23 0 2 0 0 0 0
HAN GOULDSBORO 1034 409 559 39 11 0 0 0 0
HAN "GREAT POND" 41 15 22 3 1 0 0 0 0
HAN HANCOCK 1331 507 678 73 29 0 0 0 4
HAN LAMOINE 1112 481 516 60 12 4 0 0 4
HAN MARIAVILLE 292 91 165 20 4 0 0 0 5
HAN "MOUNT DESERT" 1436 917 389 54 21 2 0 0 5
HAN ORLAND 1402 623 651 72 31 0 0 0 0
HAN OSBORN 41 14 26 1 0 0 0 0 0
HAN OTIS 449 137 260 25 3 0 0 0 2
HAN PENOBSCOT 810 445 279 29 29 0 0 0 4
HAN SEDGWICK 763 397 287 33 16 0 0 0 1
HAN SORRENTO 210 99 87 11 4 0 0 0 1
HAN "SOUTHWEST HARBOR" 1135 646 400 31 15 0 0 0 4
HAN STONINGTON 611 350 214 19 14 0 0 0 0
HAN SULLIVAN 677 285 300 51 14 0 0 0 0
HAN SURRY 1016 490 418 46 25 0 0 0 2
